chaps_id,birthdate,sire,dam,,regnum,regname,elecID,sex,sex_date,breed,birth_weight,status,,,,,,
15077,2/13/2003,GG B571,2254,,,,,,,AR,,,,,,,,
15078,5/1/2004,FM1909,FF123,,FM3991,,,,,LO,,,,,,,,
15079,1/1/2010,,x4121225,,,,949000000040961,,,SH,,,,,,,,
15080,,ALMDKPRD,MISSDKTA,,,,,,,LO,,,,,,,,
15081,2/25/2002,27H,FM9,,,,982000007489005,,,LO,,,,,,,,
15082,5/1/2004,FM647,FF156,,FM3990,,,,,LO,,,,,,,,
15083,1/1/2011,,80L7,,2619614,,,,,SM,,,,,,,,
15084,,,,,312276,,,,,AR,,,,,,,,
15085,,,,,316788,,,,,AR,,,,,,,,
15086,3/28/1992,,,,11793344,,,,,AN,,,,,,,,
15087,,,,,372968,,,,,AR,,,,,,,,
15088,5/12/2004,FM74,FF151,,FM3992,,,,,LO,,,,,,,,
15089,,,,,7079,,,,,DR,,,,,,,,
15090,1/7/1996,19476026,2548883,,40036739,,,,,HH,,,,,,,,
15091,1/19/1995,19172457,2396123,,40036740,,,,,HH,,,,,,,,
15092,5/15/1997,19390001,19273999,,40049272,,,,,HH,,,,,,,,
15093,3/25/2004,788190,667864,,992320,,982009104173251,,,AR,,,,,,,,
15094,3/14/2004,575520,802634,,992251,,982009104079543,,,AR,,,,,,,,
15095,3/17/2004,575520,416033,,992275,,982009104079673,,,AR,,,,,,,,
15096,,,,,,,,,,CH,,,,,,,,
15097,1/28/1998,19461176,19410898,,41003694,SR 4411 MARK 8037,,,,HH,,,,,,,,
15098,4/24/1999,19578040,19571110,,41139401,SR MARK DON 9219,,,,HH,,,,,,,,
15099,3/13/2004,575520,684093,,992323,,982009104079427,,,AR,,,,,,,,
15100,1/14/1998,2584005,42035388,,42035398,BP 146D SANDMAN 46H,,,,HH,,,,,,,,
15101,2/21/1997,42035420,42035424,,42035426,FA BRITISHER 126G,,,,HH,,,,,,,,
15102,3/23/1998,42200608,42200607,,4200609,MW PRAIRIE 68H,,,,HH,,,,,,,,
15103,3/28/2004,FM1787,FF2903,,FM3988,,,,,LO,,,,,,,,
15104,2/2/2010,2321664,2364451,,2570106,,949000000078084,,,SM,,,,,,,,
15105,,,,,,Skogen Charolais 5230 Sons,,,,CH,,,,,,,,
15106,,,,,,,,,,CH,,,,,,,,
15107,1/24/2010,13512009,16375661,,17119108,,949000000077091,,,AN,,,,,,,,
15108,2/10/2010,2321664,2242073,,2570112,,949000000015081,,,SM,,,,,,,,
15109,2/16/2010,2216165,2397437,,2570120,,949000000197020,,,SM,,,,,,,,
15110,,,,,,Skogen Charolais 5681 Sons,,,,CH,,,,,,,,
15111,,,,,,Skogen Charolais 5932 Sons,,,,CH,,,,,,,,
15112,,,,,,,,,,LO,,,,,,,,
15113,,NEVADA,TRIANGL,,,,,,,LO,,,,,,,,
15114,,,,,,,,,,CH,,,,,,,,
15115,3/14/1994,,,,12292752,NDSU CRUZLINER 62D1,,,,AN,,,,,,,,
15116,1/1/2010,,,,,,949000000195730,,,LO,,,,,,,,
15117,1/29/1991,QAS234,BR972,,11554190,B/R TRAVELER 130,,,,AN,,,,,,,,
15118,4/2/2004,FM1787,FF2177,,FM3989,,,,,LO,,,,,,,,
15119,4/2/2004,FM1787,FF2177,,FM3989,,,,,LO,,,,,,,,
15120,3/18/2004,FM1787,XF1549,,PM3987,,,,,LO,,,,,,,,
15121,1/1/2010,,,,,,949000000071031,,,LO,,,,,,,,
15122,10/5/1998,372629,312222,,575520,,,,,AR,,,,,,,,
15123,,,,,,,,,,CH,,,,,,,,
15124,,,,,11592069,TRAVELER 722,,,,AN,,,,,,,,
15125,6/27/2006,U319,377M,,,,949000000015754,,,LO,,,,,,,,
15126,,,,,,,,,,AN,,,,,,,,
15127,2/6/2010,13512009,15786974,,17119123,,949000000196859,,,AN,,,,,,,,
15128,,,,,,,,,,AN,,,,,,,,
15129,,,,,,,,,,AN,,,,,,,,
15130,,,,,,,,,,AN,,,,,,,,
15131,,,,,,,,,,AN,,,,,,,,
15132,,,,,,,,,,AN,,,,,,,,
15133,,,,,,,,,,AN,,,,,,,,
15134,,,,,,,,,,AN,,,,,,,,
15135,,,,,,,,,,AN,,,,,,,,
15136,,,,,,,,,,AN,,,,,,,,
15137,,,,,,,,,,AN,,,,,,,,
15138,,,,,,,,,,AN,,,,,,,,
15139,1/16/2000,TT82F,9108,,M602060,,,,,CH,,,,,,,,
15140,4/12/1997,BLKDEST,CIRCLS,,1937373,,,,,SM,,,,,,,,
15141,9/16/2001,GWLUCKYD,9104J,,2152782,,,,,SM,,,,,,,,
15142,,,,,,,,,,CH,,,,,,,,
15143,,,,,,,,,,AN,,,,,,,,
15144,,,,,,,,,,CH,,,,,,,,
15145,,,,,,,,,,AN,,,,,,,,
15146,,,,,,,,,,AN,,,,,,,,
15147,,,,,,,,,,CH,,,,,,,,
15148,3/19/2009,,,,1337167,,949000000073201,,,AR,,,,,,,,
15149,,,,,,,,,,CH,,,,,,,,
15150,4/1/2009,1111871,1031383,,1337190,,949000000008806,,,AR,,,,,,,,
15151,,,,,,,,,,AR,,,,,,,,
15152,4/9/2009,1187150,575560,,1337162,,,,,AR,,,,,,,,
15153,,,,,,,,,,GV,,,,,,,,
15154,,,,,,,,,,CH,,,,,,,,
15155,,,,,,,,,,,,,,,,,,
15156,,,,,,,,,,HH,,,,,,,,
15157,,,,,,,,,,CH,,,,,,,,
15158,,,,,,,,,,HH,,,,,,,,
15159,,,,,,,,,,AN,,,,,,,,
15160,,,,,,,,,,AN,,,,,,,,
15161,,,,,,,,,,CH,,,,,,,,
15162,,,,,,,,,,CH,,,,,,,,
15163,,,,,,,,,,AN,,,,,,,,
15164,,,,,,,,,,AN,,,,,,,,
15165,,,,,,,,,,AN,,,,,,,,
15166,,,,,,,,,,AN,,,,,,,,
15167,,,,,,,,,,AN,,,,,,,,
15168,,,,,,,,,,AN,,,,,,,,
15169,,,,,,,,,,AN,,,,,,,,
15170,2/15/1970,,,,65513,,,,,AR,,,,,,,,
15171,,,,,,,,,,AN,,,,,,,,
15172,1/29/1990,,,,326175,,,,,AR,,,,,,,,
15173,,,,,,,,,,AR,,,,,,,,
15174,,,,,,,,,,AN,,,,,,,,
15175,,,,,08505294,BAND 234 OF IDEAL 3163,,,,AN,,,,,,,,
15176,,BAND234,,,09891499,TEHAMA BANDO 155,,,,AN,,,,,,,,
15177,,,,,1293,,,,,AR,,,,,,,,
15178,4/14/1997,BUCC1658,MRM1431,,574873,,,,,AR,,,,,,,,
15179,3/17/1978,OKDBLCHF,MDMADCP,,,100598,,,,AR,,,,,,,,
15180,,,,,,,,,,AR,,,,,,,,
15181,,,,,,,,,,,,,,,,,,
15182,,,,,10711858,B/R MISTER T 545,,,,AN,,,,,,,,
15183,3/4/1988,BUFCC824,BFLOCRK,,299558,,,,,AR,,,,,,,,
15184,2/28/1984,RCNCAN92,BUFCKLA,,170753,,,,,AR,,,,,,,,
15185,,,,,,,,,,,,,,,,,,
15186,,,,,09471066,BLACK WITCH CORBINAIRE 95,,,,AN,,,,,,,,
15187,,,,,,,,,,AN,,,,,,,,
15188,,,,,,,,,,CH,,,,,,,,
15189,,,,,,,,,,CH,,,,,,,,
15190,,,,,,,,,,CH,,,,,,,,
15191,6/3/1996,42355520,C2438498,,CAN2650999,FE 34Z STANDARD 69F,,,,HH,,,,,,,,
15192,,,,,,,,,,CH,,,,,,,,
15193,,,,,,,,,,CH,,,,,,,,
15194,,,,,,,,,,CH,,,,,,,,
15195,,,,,,,,,,CH,,,,,,,,
15196,,,,,,,,,,CH,,,,,,,,
15197,,,,,,,,,,CH,,,,,,,,
15198,,,,,,,,,,CH,,,,,,,,
15199,,,,,,,,,,CH,,,,,,,,
15200,,,,,,,,,,CH,,,,,,,,
15201,,,,,,,,,,CH,,,,,,,,
15202,,,,,,,,,,CH,,,,,,,,
15203,,,,,,,,,,CH,,,,,,,,
15204,,CHAIRMAN,,,10749607,PREMIER CHAIRMAN 6011A,,,,AN,,,,,,,,
15205,,,,,,,,,,CH,,,,,,,,
15206,,,,,10173231,GREENBRAE CHAIRMAN,,,,AN,,,,,,,,
15207,10/5/1965,CHOCTCHF,KCELZB,,13072,,,,,AR,,,,,,,,
15208,,,,,,,,,,AR,,,,,,,,
15209,,,,,,,,,,AN,,,,,,,,
15210,1/25/2010,2226324,2460406,,2570100,,949000000197679,,,SM,,,,,,,,
15211,,,,,179724,,,,,AR,,,,,,,,
15212,,,,,,,,,,DR,,,,,,,,
15213,,,,,06064368,EMULATION 31,,,,AN,,,,,,,,
15214,,EMUL31,,,09678609,N BAR EMULATION 8520,,,,AN,,,,,,,,
15215,,,,,,EXT EMULATION,,,,AN,,,,,,,,
15216,,,,,,,,,,AN,,,,,,,,
15217,,,,,40036740,GH MEDAL BRITISHR 52E ET,,,,HH,,,,,,,,
15218,2/19/1997,LKIR8621,GLACRBA,,557331,,,,,AR,,,,,,,,
15219,2/7/1992,BFLOCR,GLCRBLA,,372629,,,,,AR,,,,,,,,
15220,,,,,,,,,,HH,,,,,,,,
15221,,,,,,,,,,HH,,,,,,,,
15222,,,,,,,,,,HH,,,,,,,,
15223,,,,,10349477,HIGHWOOD HERO L C H,,,,AN,,,,,,,,
15224,,HERO,,,10848637,R R HERO 6267,,,,AN,,,,,,,,
15225,,,,,,,,,,HH,,,,,,,,
15226,,,,,09324765,BASIN HIGH TIME,,,,AN,,,,,,,,
15227,2/13/1992,,,,373544,MLK CRK HOBO 5228,,,,AR,,,,,,,,
15228,,,,,,,,,,,,,,,,,,
15229,,,,,,,,,,,,,,,,,,
15230,,,,,,,,,,HP,,,,,,,,
15231,,,,,,,,,,HP,,,,,,,,
15232,,,,,,,,,,HP,,,,,,,,
15233,1/5/1987,18146545,18632384,,18838131,,,,,HP,,,,,,,,
15234,,,,,,,,,,HP,,,,,,,,
15235,,,,,,,,,,HP,,,,,,,,
15236,,,,,,,,,,HP,,,,,,,,
15237,,,,,,,,,,HP,,,,,,,,
15238,,,,,,,,,,HP,,,,,,,,
15239,,BWC95,,,10112151,LEMON IMPACT,,,,AN,,,,,,,,
15240,,,,,,,,,,,,,,,,,,
15241,3/19/1973,ANKODYNA,HOMAMB,,58788,,,,,AR,,,,,,,,
15242,,,,,,,,,,,,,,,,,,
15243,,,,,10335630,KADENCE RIFLEMAN,,,,AN,,,,,,,,
15244,,,,,15185,,,,,AR,,,,,,,,
15245,,TRIH153,TRI1001,,,,,,,,,,,,,,,
15246,,,,,,,,,,HH,,,,,,,,
15247,,,,,,,,,,HH,,,,,,,,
15248,,,,,,,,,,HH,,,,,,,,
15249,,,,,,,,,,HH,,,,,,,,
15250,,,,,,,,,,HH,,,,,,,,
15251,3/30/1999,19511547,19394319,,41167437,L DAKOTA AUTUMN 957,,,,HH,,,,,,,,
15252,4/6/1999,19511547,19593530,,41167439,L DAKOTA AUTUMN 965,,,,HH,,,,,,,,
15253,3/2/2001,40061433,19540746,,42223519,L SUNDANCE 118,,,,HH,,,,,,,,
15254,,,,,,,,,,HH,,,,,,,,
15255,3/7/1998,19511547,19394299,,41068670,L DAKOTA AUTUMN 875,,,,HH,,,,,,,,
15256,,,,,,,,,,,,,,,,,,
15257,2/9/1987,RCNDY614,LCHDU,,275682,,,,,AR,,,,,,,,
15258,2/7/1988,,,,299211,,,,,AR,,,,,,,,
15259,,,,,,,,,,,,,,,,,,
15260,2/16/1990,LCHROB,LCHELEN,,335067,,,,,AR,,,,,,,,
15261,1/29/2002,BFCC4912,KRNRERO,,832407,,,,,AR,,,,,,,,
15262,,,,,,,,,,LO,,,,,,,,
15263,,PSPOWER,,,09819973,LOVANA,,,,AN,,,,,,,,
15264,1/29/1990,,,,326175,LARSON SUNDANCE 001,,,,AR,,,,,,,,
15265,4/30/1992,LKIR8621,LCHPRL,,385484,,,,,AR,,,,,,,,
15266,5/9/2002,42035398,19555135,,42287234,,949000000191724,,,HH,,,,,,,,
15267,4/27/2002,40049272,19583647,,42287255,,949000000191998,,,HH,,,,,,,,
15268,3/26/2002,40049272,19570055,,,SR MAGNET 462,,,,HH,,,,,,,,
15269,4/21/2002,42035398,40005441,,42287361,SR SANDMAN 1272,,,,HH,,,,,,,,
15270,4/21/2002,42035398,40005441,,42287362,,,,,HH,,,,,,,,
15271,4/19/2002,40036739,40042479,,42287370,,0949000000124501,,,HH,,,,,,,,
15272,5/22/2002,40049272,40042525,,42287389,,949000000196259,,,HH,,,,,,,,
15273,,,,,,,,,,LO,,,,,,,,
15274,4/24/2002,42035398,40045567,,42287422,,949000000091991,,,HH,,,,,,,,
15275,3/28/2002,42035398,41053189,,42287429,,949000000095383,,,HH,,,,,,,,
15276,3/26/2002,42035398,41053020,,42287433,,949000000216410,,,HH,,,,,,,,
15277,3/27/2002,42035426,41034505,,42287459,,949000000094306,,,HH,,,,,,,,
15278,4/5/2002,42035426,41034704,,42287465,,,,,HH,,,,,,,,
15279,4/10/2002,42035426,41007692,,42287470,,,,,HH,,,,,,,,
15280,4/21/2002,42167187,41131050,,42287537,SR COMET 1252,,,,HH,,,,,,,,
15281,3/8/2002,41139401,42078300,,42287582,SR MARK DON 802,,,,HH,,,,,,,,
15282,2/14/2010,2216165,2183664,,2570118,,949000000070911,,,SM,,,,,,,,
15283,,,,,,,,,,,,,,,,,,
15284,,,,,,,,,,,,,,,,,,
15285,,,,,,Messmer Red Angus Bulls,,,,AR,,,,,,,,
15286,1/10/1984,,,,166282,,,,,AR,,,,,,,,
15287,,,,,,,,,,AR,,,,,,,,
15288,,,,,,,,,,AR,,,,,,,,
15289,,,,,,,,,,AR,,,,,,,,
15290,,,,,,,,,,AR,,,,,,,,
15291,,,,,,,,,,AR,,,,,,,,
15292,,,,,,,,,,MS,,,,,,,,
15293,,,,,,,,,,MS,,,,,,,,
15294,,,,,,,,,,AR,,,,,,,,
15295,,,,,,,,,,AR,,,,,,,,
15296,,,,,,,,,,AR,,,,,,,,
15297,3/28/2003,41123437,42078510,,42408174,,,,,HH,,,,,,,,
15298,3/17/2003,42254372,41139404,,42420194,,,,,HH,,,,,,,,
15299,3/9/2003,42071009,42197977,,42408305,,,,,HH,,,,,,,,
15300,4/24/2003,42035398,19518703,,42407506,,949000000197658,,,HH,,,,,,,,
15301,3/30/2003,42198179,,,42407563,,949000000192410,,,HH,,,,,,,,
15302,3/28/2003,42197974,19578502,,42407659,,949000000095204,,,HH,,,,,,,,
15303,4/13/2003,42196319,19578610,,42407737,,949000000200825,,,HH,,,,,,,,
15304,4/10/2003,42071009,19589827,,42407762,,,,,HH,,,,,,,,
15305,4/11/2003,41123437,40031007,,41123437,,,,,HH,,,,,,,,
15306,3/9/1976,PBC373D0,PBC373,,78553,,,,,AR,,,,,,,,
15307,1/1/2010,,,,,,949000000007953,,,LO,,,,,,,,
15308,,UNKNHH,,,,,949000000200111,,,UNKNHH,,,,,,,,
15309,,UNKNHH,,,,,982009104079635,,,HH,,,,,,,,
15310,3/25/2004,LELAND,BARN CH,,992329,,,,,AR,,,,,,,,
15311,,UNKNHH,,,42496586,,982009104079678,,,HH,,,,,,,,
15312,,UNKNHH,,,42496630,,982009104079935,,,HH,,,,,,,,
15313,,UNKNHH,,,42495715,,982009104079529,,,HH,,,,,,,,
15314,5/1/2004,FM647,FF156,,FM3990,,982000039975103,,,LO,,,,,,,,
15315,,,,,10846681,PAPA RITO T INTENSE DHD 6844,,,,AN,,,,,,,,
15316,,,,,41855,,,,,AR,,,,,,,,
15317,3/14/1972,CHOCF373,EYEMP4,,47437,,,,,AR,,,,,,,,
15318,,,,,70736,,,,,AR,,,,,,,,
15319,3/17/1975,PBC373D0,PHCBAND,,70773,,,,,AR,,,,,,,,
15320,,,,,10852649,BEAR CREEK POWER DRIVE 6106,,,,AN,,,,,,,,
15321,,,,,08974207,P S POWER PLAY,,,,AN,,,,,,,,
15322,,BAND234,,,09250717,Q A S TRAVELER 23-4,,,,AN,,,,,,,,
15323,1/1/2005,,,,,,949000000106693,,,LO,,,,,,,,
15324,,LOVANA,,,10388929,G D A R RAINMAKER 340,,,,AN,,,,,,,,
15325,,,,,,,,,,CH,,,,,,,,
15326,4/16/1980,RCNCYNCF,RCNEXA,,120186,,,,,AR,,,,,,,,
15327,3/16/1978,PBCD6MH1,RCNIDGO,,95641,,,,,AR,,,,,,,,
15328,,,,,,,,,,AR,,,,,,,,
15329,3/12/1976,JHLDY417,RCNIDGO,,87772,,,,,AR,,,,,,,,
15330,2/28/1974,,,,66260,,,,,AR,,,,,,,,
15331,,,,,1533,,,,,AR,,,,,,,,
15332,,,,,,,,,,,,,,,,,,
15333,,,,,,,,,,AN,,,,,,,,
15334,,,,,,,,,,AN,,,,,,,,
15335,,,,,09682589,RITO 9J9 OF B156 7T26,,,,,,,,,,,,
15336,,,,,35607,,,,,AR,,,,,,,,
15337,,,,,8496,,,,,AR,,,,,,,,
15338,,,,,,,,,,AR,,,,,,,,
15339,3/12/2006,832407,971798,,1114775,,982000039974158,,,AR,,,,,,,,
15340,,UNKN,,,,,,,,AR,,,,,,,,
15341,3/26/2006,42162587,42287339,,42728135,,982000040735674,,,HH,,,,,,,,
15342,1/26/2006,X3997326,X4011729,,X4121210,,982000039975207,,,HH,,,,,,,,
15343,3/28/2006,42162587,42287288,,42728678,,982000039975165,,,HH,,,,,,,,
15344,5/9/2006,,,,,,,,,LO,,,,,,,,
15345,4/8/2006,832407,958997,,1114780,,982000041245512,,,AR,,,,,,,,
15346,4/8/2006,833209,407740,,1101273,,982000041183240,,,AR,,,,,,,,
15347,3/3/2006,EZ PRIDE,EZ MISS,,,,,,,LO,,,,,,,,
15348,,,,,,,,,,AR,,,,,,,,
15349,4/13/2006,761532,407740,,1114786,,982000039974163,,,AR,,,,,,,,
15350,2/24/2006,648319,992245,,1129721,,982000039975466,,,AR,,,,,,,,
15351,2/26/2006,545761,632709,,1129750,,982000040735727,,,AR,,,,,,,,
15352,2/28/2006,575520,549221,,1129732,,982000039975601,,,AR,,,,,,,,
15353,3/31/2006,763219,667864,,1129780,,982000041183249,,,AR,,,,,,,,
15354,4/5/2006,921761,992270,,1129717,,,,,AR,,,,,,,,
15355,4/14/2006,42444418,41026053,,42727065,,982000039974223,,,HH,,,,,,,,
15356,3/11/2006,LOTTO255,X4058156,,X4121962,,982000039975569,,,HH,,,,,,,,
15357,3/21/2006,LOTTO255,X4058144,,X4121963,,982000039488635,,,HH,,,,,,,,
15358,3/24/2006,GSALLSTA,X4058161,,X4121964,,982000039975453,,,HH,,,,,,,,
15359,4/29/2006,LOTTO255,X4058142,,X4124729,,982000039974273,,,HH,,,,,,,,
15360,3/4/2006,42536808,42495930,,42729126,,982000039975323,,,HH,,,,,,,,
15361,3/4/2006,42536808,42495930,,42729127,,982000041182894,,,HH,,,,,,,,
15362,3/13/2006,42731469,SBROBYN,,42731469,,982000041183181,,,HH,,,,,,,,
15363,,,,,,,,,,CH,,,,,,,,
15364,2/17/2001,42200609,42167185,,42200613,SR STANDARD 61,,,,HH,,,,,,,,
15365,3/18/2000,19563937,40045544,,42073845,SR PATROL 0103,,,,HH,,,,,,,,
15366,4/6/2001,40036739,19564652,,42197981,SR BRITISHER 1101,,,,HH,,,,,,,,
15367,3/12/2001,42035426,19381981,,42197737,LS IMPRINT 161,,,,HH,,,,,,,,
15368,,,,,,,,,,HH,,,,,,,,
15369,4/1/2001,42035426,19583594,,42197948,SR IMPRINT 991,,,,HH,,,,,,,,
15370,4/4/2001,40049272,19306637,,42197732,SR MAGNET 1051,,,,HH,,,,,,,,
15371,,,,,,,,,,HH,,,,,,,,
15372,,,,,,,,,,HH,,,,,,,,
15373,3/21/2000,42035426,19583647,,42078100,SR IMPRINT 290,,,,HH,,,,,,,,
15374,3/24/1999,19436461,19532358,,41130962,SR COMMAND 349,,,,HH,,,,,,,,
15375,3/24/2000,BB7Z4032,DSM370,,42077969,DS COMMAND 360,,,,HH,,,,,,,,
15376,,,,,,,,,,HH,,,,,,,,
15377,,,,,,,,,,HH,,,,,,,,
15378,,,,,,,,,,HH,,,,,,,,
15379,4/10/2000,40049272,19382093,,42077966,SR MAGNET 610,,,,HH,,,,,,,,
15380,3/27/2001,40049272,19583593,,42197914,SR MAGNET 641,,,,HH,,,,,,,,
15381,4/18/1998,BBP0293,BBMS804,,41007699,SR PATRIOT 8189,,,,HH,,,,,,,,
15382,3/6/2000,19599204,41053182,,42078458,DS MARK DOMINO 750,,,,HH,,,,,,,,
15383,,,,,,,,,,HH,,,,,,,,
15384,3/31/2001,40049272,19532315,,42197773,SR MAGNET 941,,,,HH,,,,,,,,
15385,,,,,,,,,,HH,,,,,,,,
15386,,,,,,,,,,AR,,,,,,,,
15387,,,,,,,,,,AN,,,,,,,,
15388,2/16/1957,,,,1434,,,,,AR,,,,,,,,
15389,,,,,,STUBER HEREFORDS,,,,HH,,,,,,,,
15390,2/10/2007,,,,X4132095,,,,,SH,,,,,,,,
15391,3/30/2007,307M,FM9,,,,949000000006036,,,LOHHARHH,,,,,,,,
15392,,,,,40004855,,,,,HH,,,,,,,,
15393,,,,,19427495,,,,,HH,,,,,,,,
15394,,,,,19492955,,,,,HH,,,,,,,,
15395,,,,,19604679,,,,,HH,,,,,,,,
15396,,,,,19604731,,,,,HH,,,,,,,,
15397,,,,,19515126,,,,,HH,,,,,,,,
15398,,,,,19574262,,,,,HH,,,,,,,,
15399,4/18/1976,,,,62700,,,,,AR,,,,,,,,
15400,,,,,,,,,,AN,,,,,,,,
15401,3/6/2008,L290605,JULIAS98,,1242067,,982000128138490,,,AR,,,,,,,,
15402,4/11/2008,937253,958997,,1242050,,,,,AR,,,,,,,,
15403,4/11/2008,937253,971785,,1242051,,982000128138537,,,AR,,,,,,,,
15404,4/14/2008,SHODATA,HIHO3007,,1242075,,,,,AR,,,,,,,,
15405,1/21/2008,X4051692,X4121211,,X4148364,,,,,SH,,,,,,,,
15406,1/20/2008,X4135495,X4101844,,X4146285,,,,,SH,,,,,,,,
15407,1/23/2008,X3977726,X4121225,,85 1 23 29S3,,,,,SH,,,,,,,,
15408,1/28/2008,X4135495,X4101842,,X4146280,,,,,SH,,,,,,,,
15409,2/2/2008,X4135495,AR38387,,X4146288,,,,,SH,,,,,,,,
