chaps_id,birthdate,sire,dam,regnum,elecID,regname,sex,sex_date,breed,birth_weight,calving_ease,state
60080,,ALMDKPRD,MISSDKTA,,,,,,LO,,,
60081,2/25/2002,27H,FM9,,982000007489005,,,,LO,,,
60082,5/1/2004,FM647,FF156,FM3990,,,,,LO,,,
60083,1/1/2011,,80L7,2619614,,,,,SM,,,
60084,,,,312276,,,,,AR,,,
60085,,,,316788,,,,,AR,,,
60086,3/28/1992,,,11793344,,,,,AN,,,
60087,,,,372968,,,,,AR,,,
60088,5/12/2004,FM74,FF151,FM3992,,,,,LO,,,
60089,,,,7079,,,,,DR,,,
60090,1/7/1996,19476026,2548883,40036739,,,,,HH,,,
60091,1/19/1995,19172457,2396123,40036740,,,,,HH,,,
60092,5/15/1997,19390001,19273999,40049272,,,,,HH,,,
60093,3/25/2004,788190,667864,992320,982009104173251,,,,AR,,,
60094,3/14/2004,575520,802634,992251,982009104079543,,,,AR,,,
60095,3/17/2004,575520,416033,992275,982009104079673,,,,AR,,,
60096,,,,,,,,,CH,,,
60097,1/28/1998,19461176,19410898,41003694,,SR 4411 MARK 8037,,,HH,,,
60098,4/24/1999,19578040,19571110,41139401,,SR MARK DON 9219,,,HH,,,
60099,3/13/2004,575520,684093,992323,982009104079427,,,,AR,,,
60100,1/14/1998,2584005,42035388,42035398,,BP 146D SANDMAN 46H,,,HH,,,
60101,2/21/1997,42035420,42035424,42035426,,FA BRITISHER 126G,,,HH,,,
60102,3/23/1998,42200608,42200607,4200609,,MW PRAIRIE 68H,,,HH,,,
60103,3/28/2004,FM1787,FF2903,FM3988,,,,,LO,,,
60104,2/2/2010,2321664,2364451,2570106,949000000078084,,,,SM,,,
60105,,,,,,Skogen Charolais 5230 Sons,,,CH,,,
60106,,,,,,,,,CH,,,
60107,1/24/2010,13512009,16375661,17119108,949000000077091,,,,AN,,,
60108,2/10/2010,2321664,2242073,2570112,949000000015081,,,,SM,,,
60109,2/16/2010,2216165,2397437,2570120,949000000197020,,,,SM,,,
60110,,,,,,Skogen Charolais 5681 Sons,,,CH,,,
60111,,,,,,Skogen Charolais 5932 Sons,,,CH,,,
60112,,,,,,,,,LO,,,
60113,,NEVADA,TRIANGL,,,,,,LO,,,
60114,,,,,,,,,CH,,,
60115,3/14/1994,,,12292752,,NDSU CRUZLINER 62D1,,,AN,,,
60116,1/1/2010,,,,949000000195730,,,,LO,,,
60117,1/29/1991,QAS234,BR972,11554190,,B/R TRAVELER 130,,,AN,,,
60118,4/2/2004,FM1787,FF2177,FM3989,,,,,LO,,,
60119,4/2/2004,FM1787,FF2177,FM3989,,,,,LO,,,
60120,3/18/2004,FM1787,XF1549,PM3987,,,,,LO,,,
60121,1/1/2010,,,,949000000071031,,,,LO,,,
60122,10/5/1998,372629,312222,575520,,,,,AR,,,
60123,,,,,,,,,CH,,,
60124,,,,11592069,,TRAVELER 722,,,AN,,,
60125,6/27/2006,U319,377M,,949000000015754,,,,LO,,,
60126,,,,,,,,,AN,,,
60127,2/6/2010,13512009,15786974,17119123,949000000196859,,,,AN,,,
60128,,,,,,,,,AN,,,
60129,,,,,,,,,AN,,,
60130,,,,,,,,,AN,,,
60131,,,,,,,,,AN,,,
60132,,,,,,,,,AN,,,
60133,,,,,,,,,AN,,,
60134,,,,,,,,,AN,,,
60135,,,,,,,,,AN,,,
60136,,,,,,,,,AN,,,
60137,,,,,,,,,AN,,,
60138,,,,,,,,,AN,,,
60139,1/16/2000,TT82F,9108,M602060,,,,,CH,,,
60140,4/12/1997,BLKDEST,CIRCLS,1937373,,,,,SM,,,
60141,9/16/2001,GWLUCKYD,9104J,2152782,,,,,SM,,,
60142,,,,,,,,,CH,,,
60143,,,,,,,,,AN,,,
60144,,,,,,,,,CH,,,
60145,,,,,,,,,AN,,,
60146,,,,,,,,,AN,,,
60147,,,,,,,,,CH,,,
60148,3/19/2009,,,1337167,949000000073201,,,,AR,,,
60149,,,,,,,,,CH,,,
60150,4/1/2009,1111871,1031383,1337190,949000000008806,,,,AR,,,
60151,,,,,,,,,AR,,,
60152,4/9/2009,1187150,575560,1337162,,,,,AR,,,
60153,,,,,,,,,GV,,,
60154,,,,,,,,,CH,,,
60155,,,,,,,,,,,,
60156,,,,,,,,,HH,,,
60157,,,,,,,,,CH,,,
60158,,,,,,,,,HH,,,
60159,,,,,,,,,AN,,,
60160,,,,,,,,,AN,,,
60161,,,,,,,,,CH,,,
60162,,,,,,,,,CH,,,
60163,,,,,,,,,AN,,,
60164,,,,,,,,,AN,,,
60165,,,,,,,,,AN,,,
60166,,,,,,,,,AN,,,
60167,,,,,,,,,AN,,,
60168,,,,,,,,,AN,,,
60169,,,,,,,,,AN,,,
60170,2/15/1970,,,65513,,,,,AR,,,
60171,,,,,,,,,AN,,,
60172,1/29/1990,,,326175,,,,,AR,,,
60173,,,,,,,,,AR,,,
60174,,,,,,,,,AN,,,
60175,,,,08505294,,BAND 234 OF IDEAL 3163,,,AN,,,
60176,,BAND234,,09891499,,TEHAMA BANDO 155,,,AN,,,
60177,,,,1293,,,,,AR,,,
60178,4/14/1997,BUCC1658,MRM1431,574873,,,,,AR,,,
60179,3/17/1978,OKDBLCHF,MDMADCP,,,100598,,,AR,,,
60180,,,,,,,,,AR,,,
60181,,,,,,,,,,,,
60182,,,,10711858,,B/R MISTER T 545,,,AN,,,
60183,3/4/1988,BUFCC824,BFLOCRK,299558,,,,,AR,,,
60184,2/28/1984,RCNCAN92,BUFCKLA,170753,,,,,AR,,,
60185,,,,,,,,,,,,
60186,,,,09471066,,BLACK WITCH CORBINAIRE 95,,,AN,,,
60187,,,,,,,,,AN,,,
60188,,,,,,,,,CH,,,
60189,,,,,,,,,CH,,,
60190,,,,,,,,,CH,,,
60191,6/3/1996,42355520,C2438498,CAN2650999,,FE 34Z STANDARD 69F,,,HH,,,
60192,,,,,,,,,CH,,,
60193,,,,,,,,,CH,,,
60194,,,,,,,,,CH,,,
60195,,,,,,,,,CH,,,
60196,,,,,,,,,CH,,,
60197,,,,,,,,,CH,,,
60198,,,,,,,,,CH,,,
60199,,,,,,,,,CH,,,
60200,,,,,,,,,CH,,,
60201,,,,,,,,,CH,,,
60202,,,,,,,,,CH,,,
60203,,,,,,,,,CH,,,
60204,,CHAIRMAN,,10749607,,PREMIER CHAIRMAN 6011A,,,AN,,,
60205,,,,,,,,,CH,,,
60206,,,,10173231,,GREENBRAE CHAIRMAN,,,AN,,,
60207,10/5/1965,CHOCTCHF,KCELZB,13072,,,,,AR,,,
60208,,,,,,,,,AR,,,
60209,,,,,,,,,AN,,,
60210,1/25/2010,2226324,2460406,2570100,949000000197679,,,,SM,,,
60211,,,,179724,,,,,AR,,,
60212,,,,,,,,,DR,,,
60213,,,,,,,,,LO,,,
60214,,,,06064368,,EMULATION 31,,,AN,,,
60215,,EMUL31,,09678609,,N BAR EMULATION 8520,,,AN,,,
60216,,,,,,EXT EMULATION,,,AN,,,
60217,,,,,,,,,AN,,,
60218,,,,40036740,,GH MEDAL BRITISHR 52E ET,,,HH,,,
60219,2/19/1997,LKIR8621,GLACRBA,557331,,,,,AR,,,
60220,2/7/1992,BFLOCR,GLCRBLA,372629,,,,,AR,,,
60221,,,,,,,,,HH,,,
60222,,,,,,,,,HH,,,
60223,,,,,,,,,HH,,,
60224,,,,10349477,,HIGHWOOD HERO L C H,,,AN,,,
60225,,HERO,,10848637,,R R HERO 6267,,,AN,,,
60226,,,,,,,,,HH,,,
60227,,,,09324765,,BASIN HIGH TIME,,,AN,,,
60228,2/13/1992,,,373544,,MLK CRK HOBO 5228,,,AR,,,
60229,,,,,,,,,,,,
60230,,,,,,,,,,,,
60231,,,,,,,,,HP,,,
60232,,,,,,,,,HP,,,
60233,,,,,,,,,HP,,,
60234,1/5/1987,18146545,18632384,18838131,,,,,HP,,,
60235,,,,,,,,,HP,,,
60236,,,,,,,,,HP,,,
60237,,,,,,,,,HP,,,
60238,,,,,,,,,HP,,,
60239,,,,,,,,,HP,,,
60240,,BWC95,,10112151,,LEMON IMPACT,,,AN,,,
60241,,,,,,,,,,,,
60242,3/19/1973,ANKODYNA,HOMAMB,58788,,,,,AR,,,
60243,,,,,,,,,,,,
60244,,,,10335630,,KADENCE RIFLEMAN,,,AN,,,
60245,,,,15185,,,,,AR,,,
60246,,TRIH153,TRI1001,,,,,,,,,
60247,,,,,,,,,HH,,,
60248,,,,,,,,,HH,,,
60249,,,,,,,,,HH,,,
60250,,,,,,,,,HH,,,
60251,,,,,,,,,HH,,,
60252,3/30/1999,19511547,19394319,41167437,,L DAKOTA AUTUMN 957,,,HH,,,
60253,4/6/1999,19511547,19593530,41167439,,L DAKOTA AUTUMN 965,,,HH,,,
60254,3/2/2001,40061433,19540746,42223519,,L SUNDANCE 118,,,HH,,,
60255,,,,,,,,,HH,,,
60256,3/7/1998,19511547,19394299,41068670,,L DAKOTA AUTUMN 875,,,HH,,,
60257,,,,,,,,,,,,
60258,2/9/1987,RCNDY614,LCHDU,275682,,,,,AR,,,
60259,2/7/1988,,,299211,,,,,AR,,,
60260,,,,,,,,,,,,
60261,,,,,,,,,LO,,,
60262,2/16/1990,LCHROB,LCHELEN,335067,,,,,AR,,,
60263,1/29/2002,BFCC4912,KRNRERO,832407,,,,,AR,,,
60264,,,,,,,,,LO,,,
60265,,PSPOWER,,09819973,,LOVANA,,,AN,,,
60266,1/29/1990,,,326175,,LARSON SUNDANCE 001,,,AR,,,
60267,4/30/1992,LKIR8621,LCHPRL,385484,,,,,AR,,,
60268,5/9/2002,42035398,19555135,42287234,949000000191724,,,,HH,,,
60269,4/27/2002,40049272,19583647,42287255,949000000191998,,,,HH,,,
60270,3/26/2002,40049272,19570055,,,SR MAGNET 462,,,HH,,,
60271,4/21/2002,42035398,40005441,42287361,,SR SANDMAN 1272,,,HH,,,
60272,4/21/2002,42035398,40005441,42287362,,,,,HH,,,
60273,4/19/2002,40036739,40042479,42287370,0949000000124501,,,,HH,,,
60274,5/22/2002,40049272,40042525,42287389,949000000196259,,,,HH,,,
60275,,,,,,,,,LO,,,
60276,4/24/2002,42035398,40045567,42287422,949000000091991,,,,HH,,,
60277,3/28/2002,42035398,41053189,42287429,949000000095383,,,,HH,,,
60278,3/26/2002,42035398,41053020,42287433,949000000216410,,,,HH,,,
60279,3/27/2002,42035426,41034505,42287459,949000000094306,,,,HH,,,
60280,4/5/2002,42035426,41034704,42287465,,,,,HH,,,
60281,4/10/2002,42035426,41007692,42287470,,,,,HH,,,
60282,4/21/2002,42167187,41131050,42287537,,SR COMET 1252,,,HH,,,
60283,3/8/2002,41139401,42078300,42287582,,SR MARK DON 802,,,HH,,,
60284,2/14/2010,2216165,2183664,2570118,949000000070911,,,,SM,,,
60285,,,,,,,,,,,,
60286,,,,,,,,,,,,
60287,,,,,,Messmer Red Angus Bulls,,,AR,,,
60288,1/10/1984,,,166282,,,,,AR,,,
60289,,,,,,,,,AR,,,
60290,,,,,,,,,AR,,,
60291,,,,,,,,,AR,,,
60292,,,,,,,,,AR,,,
60293,,,,,,,,,AR,,,
60294,,,,,,,,,MS,,,
60295,,,,,,,,,MS,,,
60296,,,,,,,,,AR,,,
60297,,,,,,,,,AR,,,
60298,,,,,,,,,AR,,,
60299,3/28/2003,41123437,42078510,42408174,,,,,HH,,,
60300,3/17/2003,42254372,41139404,42420194,,,,,HH,,,
60301,3/9/2003,42071009,42197977,42408305,,,,,HH,,,
60302,4/24/2003,42035398,19518703,42407506,949000000197658,,,,HH,,,
60303,3/30/2003,42198179,,42407563,949000000192410,,,,HH,,,
60304,3/28/2003,42197974,19578502,42407659,949000000095204,,,,HH,,,
60305,4/13/2003,42196319,19578610,42407737,949000000200825,,,,HH,,,
60306,4/10/2003,42071009,19589827,42407762,,,,,HH,,,
60307,4/11/2003,41123437,40031007,41123437,,,,,HH,,,
60308,3/9/1976,PBC373D0,PBC373,78553,,,,,AR,,,
60309,1/1/2010,,,,949000000007953,,,,LO,,,
60310,,UNKNHH,,,949000000200111,,,,UNKNHH,,,
60311,,UNKNHH,,,982009104079635,,,,HH,,,
60312,3/25/2004,LELAND,BARN CH,992329,,,,,AR,,,
60313,,UNKNHH,,42496586,982009104079678,,,,HH,,,
60314,,UNKNHH,,42496630,982009104079935,,,,HH,,,
60315,,UNKNHH,,42495715,982009104079529,,,,HH,,,
60316,5/1/2004,FM647,FF156,FM3990,982000039975103,,,,LO,,,
60317,,,,10846681,,PAPA RITO T INTENSE DHD 6844,,,AN,,,
60318,,,,41855,,,,,AR,,,
60319,3/14/1972,CHOCF373,EYEMP4,47437,,,,,AR,,,
60320,,,,70736,,,,,AR,,,
60321,3/17/1975,PBC373D0,PHCBAND,70773,,,,,AR,,,
60322,,,,10852649,,BEAR CREEK POWER DRIVE 6106,,,AN,,,
60323,,,,08974207,,P S POWER PLAY,,,AN,,,
60324,,BAND234,,09250717,,Q A S TRAVELER 23-4,,,AN,,,
60325,1/1/2005,,,,949000000106693,,,,LO,,,
60326,,LOVANA,,10388929,,G D A R RAINMAKER 340,,,AN,,,
60327,,,,,,,,,CH,,,
60328,4/16/1980,RCNCYNCF,RCNEXA,120186,,,,,AR,,,
60329,3/16/1978,PBCD6MH1,RCNIDGO,95641,,,,,AR,,,
60330,,,,,,,,,AR,,,
60331,3/12/1976,JHLDY417,RCNIDGO,87772,,,,,AR,,,
60332,2/28/1974,,,66260,,,,,AR,,,
60333,,,,1533,,,,,AR,,,
60334,,,,,,,,,,,,
60335,,,,,,,,,AN,,,
60336,,,,,,,,,AN,,,
60337,,,,09682589,,RITO 9J9 OF B156 7T26,,,,,,
60338,,,,35607,,,,,AR,,,
60339,,,,8496,,,,,AR,,,
60340,,,,,,,,,AR,,,
60341,3/12/2006,832407,971798,1114775,982000039974158,,,,AR,,,
60342,,UNKN,,,,,,,AR,,,
60343,3/26/2006,42162587,42287339,42728135,982000040735674,,,,HH,,,
60344,1/26/2006,X3997326,X4011729,X4121210,982000039975207,,,,HH,,,
60345,3/28/2006,42162587,42287288,42728678,982000039975165,,,,HH,,,
60346,5/9/2006,,,,,,,,LO,,,
60347,4/8/2006,832407,958997,1114780,982000041245512,,,,AR,,,
60348,4/8/2006,833209,407740,1101273,982000041183240,,,,AR,,,
60349,3/3/2006,EZ PRIDE,EZ MISS,,,,,,LO,,,
60350,,,,,,,,,AR,,,
60351,4/13/2006,761532,407740,1114786,982000039974163,,,,AR,,,
60352,2/24/2006,648319,992245,1129721,982000039975466,,,,AR,,,
60353,2/26/2006,545761,632709,1129750,982000040735727,,,,AR,,,
60354,2/28/2006,575520,549221,1129732,982000039975601,,,,AR,,,
60355,3/31/2006,763219,667864,1129780,982000041183249,,,,AR,,,
60356,4/5/2006,921761,992270,1129717,,,,,AR,,,
60357,4/14/2006,42444418,41026053,42727065,982000039974223,,,,HH,,,
60358,3/11/2006,LOTTO255,X4058156,X4121962,982000039975569,,,,HH,,,
60359,3/21/2006,LOTTO255,X4058144,X4121963,982000039488635,,,,HH,,,
60360,3/24/2006,GSALLSTA,X4058161,X4121964,982000039975453,,,,HH,,,
60361,4/29/2006,LOTTO255,X4058142,X4124729,982000039974273,,,,HH,,,
60362,3/4/2006,42536808,42495930,42729126,982000039975323,,,,HH,,,
60363,3/4/2006,42536808,42495930,42729127,982000041182894,,,,HH,,,
60364,3/13/2006,42731469,SBROBYN,42731469,982000041183181,,,,HH,,,
60365,,,,,,,,,LO,,,
60366,,,,,,,,,CH,,,
60367,2/17/2001,42200609,42167185,42200613,,SR STANDARD 61,,,HH,,,
60368,3/18/2000,19563937,40045544,42073845,,SR PATROL 0103,,,HH,,,
60369,4/6/2001,40036739,19564652,42197981,,SR BRITISHER 1101,,,HH,,,
60370,3/12/2001,42035426,19381981,42197737,,LS IMPRINT 161,,,HH,,,
60371,,,,,,,,,HH,,,
60372,4/1/2001,42035426,19583594,42197948,,SR IMPRINT 991,,,HH,,,
60373,4/4/2001,40049272,19306637,42197732,,SR MAGNET 1051,,,HH,,,
60374,,,,,,,,,HH,,,
60375,,,,,,,,,HH,,,
60376,3/21/2000,42035426,19583647,42078100,,SR IMPRINT 290,,,HH,,,
60377,3/24/1999,19436461,19532358,41130962,,SR COMMAND 349,,,HH,,,
60378,3/24/2000,BB7Z4032,DSM370,42077969,,DS COMMAND 360,,,HH,,,
60379,,,,,,,,,HH,,,
60380,,,,,,,,,HH,,,
60381,,,,,,,,,HH,,,
60382,4/10/2000,40049272,19382093,42077966,,SR MAGNET 610,,,HH,,,
60383,3/27/2001,40049272,19583593,42197914,,SR MAGNET 641,,,HH,,,
60384,4/18/1998,BBP0293,BBMS804,41007699,,SR PATRIOT 8189,,,HH,,,
60385,3/6/2000,19599204,41053182,42078458,,DS MARK DOMINO 750,,,HH,,,
60386,,,,,,,,,HH,,,
60387,3/31/2001,40049272,19532315,42197773,,SR MAGNET 941,,,HH,,,
60388,,,,,,,,,HH,,,
60389,,,,,,,,,AR,,,
60390,,,,,,,,,AN,,,
60391,2/16/1957,,,1434,,,,,AR,,,
60392,,,,,,STUBER HEREFORDS,,,HH,,,
60393,2/10/2007,,,X4132095,,,,,SH,,,
60395,,,,40004855,,,,,HH,,,
60396,,,,19427495,,,,,HH,,,
60397,,,,19492955,,,,,HH,,,
60398,,,,19604679,,,,,HH,,,
60399,,,,19604731,,,,,HH,,,
60400,,,,19515126,,,,,HH,,,
60401,,,,19574262,,,,,HH,,,
60402,4/18/1976,,,62700,,,,,AR,,,
60403,,,,,,,,,AN,,,
60404,3/6/2008,L290605,JULIAS98,1242067,982000128138490,,,,AR,,,
60405,4/11/2008,937253,958997,1242050,,,,,AR,,,
60406,4/11/2008,937253,971785,1242051,,,,,AR,,,
60407,4/14/2008,SHODATA,HIHO3007,1242075,,,,,AR,,,
60408,1/21/2008,X4051692,X4121211,X4148364,,,,,SH,,,
60409,1/20/2008,X4135495,X4101844,X4146285,,,,,SH,,,
60410,1/23/2008,X3977726,X4121225,85 1 23 29S3,,,,,SH,,,
60411,1/28/2008,X4135495,X4101842,X4146280,,,,,SH,,,
60412,2/2/2008,X4135495,AR38387,X4146288,,,,,SH,,,
60413,1/29/2008,X4135495,4045291,X4146277,,,,,SH,,,
60414,1/26/2008,X4135495,AR38389,X4146272,,,,,SH,,,
60415,,UNKN,,,,,,,,,,
60416,,,,,,,,,AN,,,
60417,,,,,,,,,AR,,,
60418,,,,,,,,,CH,,,
60419,,,,,,,,,GV,,,
60420,,,,,,,,,HH,,,
60421,,,,,,,,,LM,,,
60422,,,,,,,,,LO,,,
60423,,,,,,,,,SH,,,
60424,,,,,,,,,SM,,,
60425,,,,,,,,,LO,,,
60426,2/10/2008,969339,1109562,1238605,982000128138375,,,,AR,,,
60427,3/8/2008,1037373,1109688,1238639,,,,,AR,,,
60428,3/10/2008,BANDS152,ZINA237P,1238507,,,,,AR,,,
60429,3/19/2008,1037373,1109610,1238616,,,,,AR,,,
60430,3/23/2008,JUL364R,CHEN224N,1238503,,,,,AR,,,
60431,3/30/2008,1037373,1037410,1238536,949000000076854,,,,AR,,,
60432,3/10/2008,MARIA548,PAND9498,1238678,,,,,AR,,,
60433,3/11/2008,ROB8621,ZINA9811,1238662,,,,,AR,,,
60434,3/20/2009,14899673,15801947,16547366,,,,,AN,,,
60435,3/11/2009,387580,834374,1317982,,,,,AR,,,
60436,3/12/2009,387580,834374,1317985,949000000197589,,,,AR,,,
60437,3/13/2009,14899673,15998427,16547369,,,,,AN,,,
60438,3/13/2009,14899673,15998426,16547370,,,,,AN,,,
60439,3/5/2009,960383,834374,1317950,949000000248689,,,,AR,,,
60440,3/7/2009,657222,605263,1317946,949000000195814,,,,AR,,,
60441,3/31/2009,14899673,15639990,16547374,,,,,AN,,,
60442,5/23/2009,MLKC7160,SMJS224,1325074,,,,,AR,,,
60443,3/19/2009,1111871,823454,1337167,,,,,AR,,,
60444,4/1/2009,1111871,1031383,1337190,,,,,AR,,,
60445,4/6/2009,1039200,1198494,1337204,,,,,AR,,,
60446,4/9/2009,1187150,575560,1337162,,,,,AR,,,
60447,4/11/2009,921761,1033917,1337111,,,,,AR,,,
60448,4/23/2009,,,,,,,,AR,,,
60449,,,,,,WHITMORE AR BULLS,,,AR,,,
60450,,,,,,,,,,,,
60451,2/23/2010,7AN278,U8076,,982000128138548,,,,ANARANHH,,,
60452,3/4/2010,7AN278,U8380,,982000128138677,,,,ANGV,,,
60460,4/1/2010,UNKNAR,N3343,,982000128138284,,,,ARLOARAN,,,
60463,5/26/2010,7057,8007,1393930,982000128138295,,,,AR,,,
60464,6/4/2010,791-9065,6158,1393949,,,,,AR,,,
