chaps_id,birthdate,sireid,cowid,registration,elecid,regname,sex,breed,birthwt,calvingease,state
77,4/15/1990,C109,Unknown,,,,2,CH,100,,
20022,4/15/1990,C109,Unknown,,,,2,CH,100,,
78,2/22/2000,STUB,G7261,,,,3,HH,105,1,
79,2/22/2000,LRA,H8227,,,,2,AR,71,1,
80,4/25/1990,C525,Unknown,,,,2,CH,84,,
20023,4/25/1990,C525,Unknown,,,,2,CH,84,,
81,2/22/2000,144,E5233,,,,2,AN,84,1,
82,4/26/1990,C525,Unknown,,,,2,CH,57,,
20024,4/26/1990,C525,Unknown,,,,2,CH,57,,
83,2/22/2000,HH55,D4248,,,,2,HH,90,1,
84,2/22/2000,HP86,A1X77,,,,2,HP,72,1,
85,3/31/1991,ANGS,Y9X17,,,,3,AN,72,1,
86,2/22/2000,LRA,H8217,,,,2,AR,80,1,
87,2/23/2000,HH55,B2001,,,,3,HH,88,1,
88,2/23/2000,144,F6036,,,,3,AN,69,1,
89,5/28/1990,ANGS,X8X03,,,,3,AN,84,2,
90,2/23/2000,HP93,F6106,,,,2,HP,93,1,
91,2/23/2000,HP92,A1X61,,,,2,HP,80,1,
92,2/23/2000,HP93,D4341,,,,2,HP,89,1,
93,2/23/2000,HP93,D4331,,,,3,HP,102,1,
94,2/23/2000,SKOG,D4281,,,,2,CH,87,1,
95,2/23/2000,HP93,Z00X6,,,,3,HP,92,1,
96,2/23/2000,176,D4313,,,,2,AN,75,1,
97,2/23/2000,LRA,H8145,,,,2,AR,79,1,
98,2/23/2000,STUB,G7108,,,,3,HH,72,1,
99,4/23/1991,C133,W7046,,,,3,CH,88,1,
100,2/23/2000,HP93,E5149,,,,3,HP,82,1,
101,2/24/2000,STUB,G7113,,,,2,HH,88,1,
102,2/24/2000,HH55,E5025,,,,2,HH,89,1,
103,2/24/2000,142,D4346,,,,3,AN,101,1,
104,2/24/2000,142,D4325,,,,3,AN,84,1,
105,2/25/2000,STUB,G7311,,,,3,HH,85,1,
106,2/25/2000,LRA,H8087,,,,3,AR,80,1,
107,2/25/2000,MS17,G7047,,,,3,AR,110,1,
108,2/25/2000,STUB,G7158,,,,3,HH,70,1,
109,2/25/2000,142,X8X03,,,,3,AN,84,1,
110,2/25/2000,1445,E5177,,,,3,AN,93,1,
111,2/25/2000,HH55,U6X46,,,,3,HH,83,1,
112,2/26/2000,HP92,C3059,,,,3,HP,91,1,
113,2/26/2000,180,F6022,,,,2,AN,90,1,
114,2/24/2000,MS17,G7212,,,,0,AR,39,0,
115,2/26/2000,HP86,A1X83,,,,3,HP,90,1,
116,2/26/2000,142,D4305,,,,2,AN,83,1,
117,2/26/2000,180,D4271,,,,3,AN,84,1,
118,2/26/2000,142,D4344,,,,3,AN,94,1,
119,2/26/2000,180,D4375,,,,2,AN,88,1,
120,2/26/2000,HP93,F6099,,,,2,HP,99,1,
121,2/26/2000,HP93,C3003,,,,2,HP,93,1,
122,2/26/2000,142,A1116,,,,3,AN,82,1,
123,2/26/2000,HH55,A1X73,,,,2,HH,88,1,
124,2/26/2000,HP86,A1106,,,,2,HP,77,1,
125,2/26/2000,144,C3087,,,,2,AN,88,1,
126,2/26/2000,HP93,F6055,,,,2,HP,95,1,
127,2/26/2000,HP86,A1113,,,,3,HP,83,1,
128,2/26/2000,HP86,E5073,,,,2,HP,87,1,
129,2/26/2000,180,C3380,,,,2,AN,90,1,
130,2/26/2000,176,X8X02,,,,2,AN,92,1,
131,2/27/2000,MS17,F6035,,,,2,AR,98,1,
132,2/27/2000,HP86,C3107,,,,2,HP,92,1,
133,2/27/2000,HP86,D4316,,,,2,HP,88,1,
134,2/27/2000,HP86,A1112,,,,2,HP,98,1,
135,2/27/2000,176,C3376,,,,3,AN,110,1,
136,2/27/2000,142,C3036,,,,3,AN,85,1,
137,2/27/2000,155,F6002,,,,3,AN,90,1,
138,2/27/2000,1445,C3366,,,,2,AN,63,1,
139,2/27/2000,HP86,D4272,,,,3,HP,124,1,
140,2/28/2000,MS17,G7228,,,,2,AR,81,1,
141,2/27/2000,STUB,G7054,,,,2,HH,74,1,
142,2/28/2000,HP92,F6092,,,,2,HP,88,1,
143,2/28/2000,144,D4337,,,,3,AN,94,1,
144,2/28/2000,HP86,A1X91,,,,2,HP,102,1,
145,2/28/2000,180,A1X79,,,,3,AN,95,1,
146,2/29/2000,HP93,C3383,,,,3,HP,84,1,
147,2/29/2000,180,D4334,,,,3,AN,113,1,
148,2/29/2000,1445,F6025,,,,3,AN,94,1,
149,2/29/2000,HP86,A1102,,,,2,HP,97,1,
150,2/29/2000,HP92,D4285,,,,2,HP,74,1,
151,2/29/2000,HP93,A1108,,,,3,HP,94,1,
152,2/29/2000,MS17,C3340,,,,2,AR,88,1,
153,2/29/2000,155,F6087,,,,3,AN,100,1,
154,2/29/2000,HP92,A1114,,,,3,HP,77,1,
155,3/1/2000,HH55,C3349,,,,3,HH,120,1,
156,3/1/2000,180,F6029,,,,3,AN,86,1,
157,3/1/2000,SKOG,C3359,,,,3,CH,80,1,
158,3/1/2000,1445,D4317,,,,3,AN,89,1,
159,3/1/2000,HP86,E5036,,,,3,HP,102,1,
160,3/1/2000,HP92,C3378,,,,2,HP,72,1,
161,3/2/2000,HP92,A1X42,,,,3,HP,95,1,
162,3/2/2000,SKOG,F6066,,,,2,CH,70,1,
163,3/2/2000,180,A1X46,,,,2,AN,94,1,
164,3/2/2000,HP92,D4367,,,,2,HP,102,1,
165,3/2/2000,SKOG,F6006,,,,2,CH,92,1,
166,3/2/2000,SKOG,F6040,,,,2,CH,79,1,
167,3/3/2000,SKOG,D4330,,,,3,CH,95,1,
168,3/3/2000,144,C3386,,,,2,AN,92,1,
169,3/3/2000,HP92,A1003,,,,3,HP,92,1,
170,3/3/2000,HP86,Z00X2,,,,2,HP,92,1,
171,3/3/2000,176,C3379,,,,2,AN,102,1,
172,3/3/2000,SKOG,F6003,,,,2,CH,85,1,
173,3/3/2000,1445,A1X82,,,,2,AN,88,1,
174,3/4/2000,HP92,Z0X20,,,,3,HP,100,1,
175,3/4/2000,SKOG,E5229,,,,3,CH,95,1,
176,3/4/2000,MS17,F6009,,,,2,AR,92,1,
177,3/4/2000,HP86,Z00X4,,,,3,HP,110,1,
178,3/4/2000,HP86,A1111,,,,2,HP,92,1,
179,3/4/2000,SKOG,D4342,,,,3,CH,103,1,
180,3/4/2000,SKOG,D4374,,,,3,CH,110,1,
181,3/4/2000,STUB,G7046,,,,2,HH,92,1,
182,3/4/2000,STUB,G7044,,,,2,HH,90,1,
183,4/4/1991,8060,U6X46,,,,3,CH,73,1,
184,3/5/2000,MS43,H8006,,,,2,AR,75,1,
185,3/5/2000,HP92,F6039,,,,3,HP,101,1,
186,4/5/1991,C937,U6X49,,,,3,CH,88,1,
187,2/28/2000,LRA,H8098,,,,3,AR,97,1,
188,3/5/2000,HP92,C3358,,,,2,HP,83,1,
189,3/5/2000,HP86,D4365,,,,3,HP,105,1,
190,3/5/2000,HP92,A1107,,,,2,HP,95,1,
191,3/5/2000,MS17,A1117,,,,2,AR,78,1,
192,3/5/2000,HP92,C3368,,,,3,HP,93,1,
193,3/5/2000,MS17,F6100,,,,3,AR,97,1,
194,3/6/2000,MS17,D4268,,,,3,AR,98,1,
195,3/6/2000,MESS,G7194,,,,2,AR,80,1,
196,3/6/2000,MS17,G7015,,,,2,AR,91,1,
197,3/6/2000,HP92,E5236,,,,2,HP,88,1,
198,3/7/2000,SKOG,D4312,,,,3,CH,120,5,
199,3/8/2000,SKOG,G7142,,,,2,CH,74,5,
200,4/25/1991,9136,U6X10,,,,3,CH,83,1,
201,3/8/2000,MS17,H8129,,,,2,AR,71,1,
202,3/8/2000,MS17,D4304,,,,2,AR,70,1,
203,3/8/2000,SKOG,C3341,,,,2,CH,96,1,
204,3/8/2000,HP86,C3356,,,,3,HP,118,1,
205,3/9/2000,MESS,D4258,,,,2,AR,64,1,
206,3/9/2000,MS43,H8018,,,,2,AR,72,1,
207,3/9/2000,STUB,G7027,,,,3,HH,96,1,
208,3/10/2000,MS17,G7283,,,,3,AR,75,1,
209,3/10/2000,H48,H8168,,,,3,HH,64,1,
210,3/10/2000,MS43,H8140,,,,3,AR,69,1,
211,3/10/2000,STUB,G7298,,,,2,HH,85,1,
212,3/10/2000,MS43,H8088,,,,2,AR,79,1,
213,3/10/2000,SKOG,A1103,,,,3,CH,90,1,
214,3/10/2000,176,F6090,,,,2,AN,100,1,
215,3/11/2000,142,D4324,,,,3,AN,112,1,
216,3/11/2000,SKOG,C3374,,,,3,CH,90,1,
217,3/11/2000,SKOG,A1X92,,,,2,CH,78,1,
218,3/12/2000,SKOG,E5084,,,,2,CH,104,1,
219,3/12/2000,SKOG,C3381,,,,3,CH,109,1,
220,3/12/2000,MESS,E5175,,,,2,AR,72,1,
221,3/12/2000,H48,H8019,,,,2,HH,73,1,
222,3/12/2000,MS43,H8220,,,,3,AR,75,1,
223,3/12/2000,STUB,G7103,,,,3,HH,90,1,
224,3/12/2000,MS43,H8066,,,,2,AR,79,1,
225,3/13/2000,H48,H8254,,,,2,HH,71,1,
226,3/13/2000,H48,H8032,,,,2,HH,80,1,
227,3/13/2000,H109,G7231,,,,2,HH,88,1,
228,3/13/2000,H48,H8071,,,,2,HH,65,1,
229,3/13/2000,STUB,G7055,,,,3,HH,95,1,
230,3/13/2000,MS03,D4301,,,,3,AR,89,1,
231,3/13/2000,MS43,H8276,,,,2,AR,84,2,
232,3/14/2000,MS41,E5006,,,,3,AR,95,1,
233,3/14/2000,MS03,F6013,,,,2,AR,87,1,
234,3/15/2000,MS11,D4277,,,,3,AR,99,1,
235,3/15/2000,MS43,H8068,,,,2,AR,58,1,
236,3/15/2000,MS43,H8141,,,,2,AR,63,1,
237,3/15/2000,MS11,E5018,,,,3,AR,74,1,
238,3/14/2000,SKOG,A1X90,,,,2,CH,84,1,
239,3/15/2000,STUB,G7251,,,,2,HH,86,1,
240,3/15/2000,SKOG,Y9X07,,,,2,CH,61,5,
241,3/15/2000,MS43,H8060,,,,2,AR,78,1,
242,3/16/2000,STUB,F6113,,,,3,HH,88,1,
243,3/16/2000,MESS,G7022,,,,2,AR,89,1,
244,3/16/2000,SR74,G7115,,,,3,HH,91,1,
245,3/16/2000,STUB,G7240,,,,2,HH,82,1,
246,3/16/2000,STUB,G7050,,,,2,HH,82,1,
247,3/16/2000,MS43,H8247,,,,2,AR,78,1,
248,3/16/2000,STUB,F6038,,,,3,HH,98,1,
249,3/10/1992,8060,U6X46,,,,3,CH,93,1,
250,3/16/2000,MS13,E5002,,,,3,AR,91,1,
251,3/17/2000,MS46,A1X87,,,,3,AR,80,1,
252,3/17/2000,SKOG,A1001,,,,2,CH,91,1,
253,3/17/2000,MS43,H8153,,,,3,AR,82,1,
254,3/17/2000,MS41,E5033,,,,2,AR,75,1,
255,3/16/1992,6133,U6X10,,,,3,CH,99,1,
256,3/13/2000,STUB,G7256,,,,3,HH,99,1,
257,3/17/2000,MS28,D4379,,,,3,AR,101,1,
258,3/17/2000,STUB,G7101,,,,2,HH,83,1,
259,3/18/2000,MS43,H8271,,,,3,AR,69,1,
260,3/18/2000,MESS,F6074,,,,3,AR,88,1,
261,3/20/2000,MS46,A1110,,,,3,AR,82,1,
262,3/20/2000,SKOG,Y9X13,,,,3,CH,91,1,
263,3/20/2000,MS46,A1006,,,,2,AR,93,1,
264,3/21/2000,MS46,A1030,,,,2,AR,95,1,
265,3/18/2000,SKOG,Y9X08,,,,2,CH,28,1,
266,3/21/2000,MS46,A1101,,,,3,AR,74,1,
267,3/21/2000,SKOG,D4329,,,,3,CH,125,1,
268,3/21/2000,SKOG,A1115,,,,3,CH,90,1,
269,3/22/2000,H48,H8110,,,,3,HH,88,1,
270,3/23/2000,SKOG,C3371,,,,2,CH,95,1,
271,3/24/2000,SKOG,Y9X14,,,,2,CH,99,1,
272,3/24/2000,MS46,A1X40,,,,3,AR,92,1,
273,3/27/2000,MS28,C3057,,,,3,AR,72,1,
274,3/28/2000,SKOG,C3121,,,,2,CH,112,1,
275,3/29/2000,MS46,A1104,,,,2,AR,78,1,
276,3/29/2000,MS13,G7269,,,,3,AR,88,1,
277,3/30/2000,MS43,H8123,,,,3,AR,82,1,
278,3/30/2000,SKOG,C3357,,,,2,CH,118,1,
279,4/1/2000,MS43,H8203,,,,3,AR,76,1,
280,4/2/2000,H109,G7134,,,,2,HH,78,1,
281,4/3/2000,H109,D4371,,,,3,HH,84,1,
282,4/4/2000,SKOG,D4339,,,,3,CH,114,1,
283,4/5/2000,MESS,D4335,,,,3,AR,108,1,
284,4/6/2000,MS43,H8274,,,,3,AR,71,1,
285,4/8/2000,H38,F6083,,,,2,HH,100,1,
286,4/8/2000,MS17,Y9X04,,,,3,AR,89,1,
287,4/8/2000,MESS,U6X49,,,,2,AR,88,1,
288,4/9/2000,MS43,H8148,,,,3,AR,89,1,
289,4/9/2000,MS43,H8149,,,,3,AR,51,1,
290,4/13/2000,MESS,F6010,,,,3,AR,83,1,
291,3/28/1992,C525,U6X25,,,,3,CH,94,1,
292,4/17/2000,MS43,H8250,,,,3,AR,68,1,
293,4/21/2000,LRA,U6X10,,,,3,AR,58,1,
294,4/28/2000,SKOG,F6001,,,,3,CH,88,1,
295,5/4/2000,LRA,D4364,,,,2,AR,85,1,
296,5/5/2000,LRA,D4322,,,,2,AR,65,1,
297,5/5/2000,LRA,G7061,,,,2,AR,80,1,
298,5/5/2000,LRA,A1119,,,,3,AR,65,1,
299,5/7/2000,LRA,A1118,,,,2,AR,90,1,
300,5/7/2000,SKOG,F6079,,,,2,CH,88,1,
301,5/7/2000,LRA,D4284,,,,3,AR,92,1,
302,5/7/2000,LRA,A1X69,,,,2,AR,90,1,
303,5/8/2000,UNKN,A1X85,,,,0,ANHH,0,0,
304,5/9/2000,SKOG,D4347,,,,3,CH,102,1,
305,5/10/2000,LRA,D4382,,,,2,AR,100,1,
306,5/11/2000,LRA,E5028,,,,2,AR,68,1,
307,5/11/2000,LRA,C3360,,,,3,AR,92,1,
308,5/11/2000,LRA,U6X53,,,,2,AR,72,1,
309,5/11/2000,LRA,C3344,,,,2,AR,88,1,
310,5/11/2000,LRA,C3044,,,,3,AR,89,1,
311,5/12/2000,LRA,D4340,,,,2,AR,88,1,
312,5/12/2000,LRA,C3364,,,,3,AR,96,1,
313,5/13/2000,LRA,C3354,,,,2,AR,82,1,
314,5/13/2000,LRA,D4291,,,,2,AR,86,1,
315,5/14/2000,SKOG,D4384,,,,3,CH,84,1,
316,5/14/2000,SKOG,A1X95,,,,3,CH,82,1,
317,5/14/2000,LRA,C3035,,,,3,AR,90,1,
318,5/27/2000,STUB,D4349,,,,2,HH,84,1,
319,5/31/2000,STUB,B2529,,,,3,HH,81,1,
320,5/31/2000,STUB,D4385,,,,3,HH,92,1,
321,5/31/2000,STUB,C3385,,,,2,HH,80,1,
322,5/31/2000,STUB,C3362,,,,2,HH,78,1,
323,6/1/2000,STUB,D4358,,,,2,HH,94,1,
324,6/1/2000,STUB,C3343,,,,3,HH,78,1,
325,6/1/2000,STUB,G7192,,,,3,HH,76,1,
326,6/2/2000,STUB,F6042,,,,2,HH,90,1,
327,6/2/2000,STUB,C3351,,,,2,HH,90,1,
328,6/3/2000,STUB,G7096,,,,3,HH,98,1,
329,6/4/2000,STUB,F6037,,,,3,HH,68,1,
330,6/4/2000,STUB,E5234,,,,3,HH,90,1,
331,6/6/2000,STUB,D4288,,,,3,HH,77,1,
332,6/7/2000,STUB,C3111,,,,2,HH,70,1,
333,6/7/2000,STUB,D4357,,,,3,HH,80,1,
334,6/13/2000,STUB,A1X67,,,,2,HH,90,1,
335,6/17/2000,STUB,A1X53,,,,2,HH,78,1,
336,6/12/2000,STUB,X8X12,,,,3,HH,96,1,
337,6/15/2000,STUB,Z0X22,,,,3,HH,70,1,
338,2/28/1990,8018,Unknown,,,,2,CH,70,,
20025,2/28/1990,8018,Unknown,,,,2,CH,70,,
339,3/1/1990,8018,Unknown,,,,2,CH,97,,
20026,3/1/1990,8018,Unknown,,,,2,CH,97,,
340,3/7/1990,8018,Unknown,,,,2,CH,81,,
20027,3/7/1990,8018,Unknown,,,,2,CH,81,,
341,3/10/1990,C109,Unknown,,,,2,CH,75,,
20028,3/10/1990,C109,Unknown,,,,2,CH,75,,
342,3/10/1990,CH13,Unknown,,,,2,CH,85,,
20029,3/10/1990,CH13,Unknown,,,,2,CH,85,,
343,3/10/1990,CH13,Unknown,,,,2,CH,93,,
20030,3/10/1990,CH13,Unknown,,,,2,CH,93,,
344,3/10/1990,C773,Unknown,,,,2,CH,78,,
20031,3/10/1990,C773,Unknown,,,,2,CH,78,,
345,3/12/1990,C773,Unknown,,,,2,CH,86,,
20032,3/12/1990,C773,Unknown,,,,2,CH,86,,
346,3/12/1990,8060,Unknown,,,,2,CH,75,,
20033,3/12/1990,8060,Unknown,,,,2,CH,75,,
347,3/13/1990,C133,Unknown,,,,2,CH,87,,
20034,3/13/1990,C133,Unknown,,,,2,CH,87,,
348,3/13/1990,CH13,Unknown,,,,2,CH,97,,
20035,3/13/1990,CH13,Unknown,,,,2,CH,97,,
349,3/15/1990,C718,Unknown,,,,2,CH,84,,
20036,3/15/1990,C718,Unknown,,,,2,CH,84,,
350,3/14/1990,C119,Unknown,,,,2,CH,80,,
20037,3/14/1990,C119,Unknown,,,,2,CH,80,,
351,3/15/1990,C613,Unknown,,,,2,CH,72,,
20038,3/15/1990,C613,Unknown,,,,2,CH,72,,
352,3/16/1990,C718,Unknown,,,,2,CH,90,,
20039,3/16/1990,C718,Unknown,,,,2,CH,90,,
353,3/15/1990,8018,Unknown,,,,2,CH,84,,
20040,3/15/1990,8018,Unknown,,,,2,CH,84,,
354,3/16/1990,CH13,Unknown,,,,2,CH,90,,
20041,3/16/1990,CH13,Unknown,,,,2,CH,90,,
355,3/16/1990,CH13,Unknown,,,,2,CH,115,,
20042,3/16/1990,CH13,Unknown,,,,2,CH,115,,
356,3/17/1990,8060,U6X53,,,,2,CH,70,1,
357,3/18/1990,C718,Unknown,,,,2,CH,97,,
20043,3/18/1990,C718,Unknown,,,,2,CH,97,,
358,3/19/1990,C406,Unknown,,,,2,CH,79,,
20044,3/19/1990,C406,Unknown,,,,2,CH,79,,
359,3/19/1990,CH11,Unknown,,,,2,CH,72,,
20045,3/19/1990,CH11,Unknown,,,,2,CH,72,,
360,3/19/1990,CH11,Unknown,,,,2,CH,66,,
20046,3/19/1990,CH11,Unknown,,,,2,CH,66,,
361,3/22/1990,C119,Unknown,,,,2,CH,88,,
20047,3/22/1990,C119,Unknown,,,,2,CH,88,,
362,3/23/1990,C710,Unknown,,,,2,CH,92,,
20048,3/23/1990,C710,Unknown,,,,2,CH,92,,
363,3/23/1990,C773,Unknown,,,,2,CH,100,,
20049,3/23/1990,C773,Unknown,,,,2,CH,100,,
364,3/23/1990,C718,Unknown,,,,2,CH,115,,
20050,3/23/1990,C718,Unknown,,,,2,CH,115,,
365,3/24/1990,C406,Unknown,,,,2,CH,70,,
20051,3/24/1990,C406,Unknown,,,,2,CH,70,,
366,3/23/1990,C773,Unknown,,,,2,CH,92,,
20052,3/23/1990,C773,Unknown,,,,2,CH,92,,
367,3/26/1990,C773,Unknown,,,,2,CH,93,,
20053,3/26/1990,C773,Unknown,,,,2,CH,93,,
368,3/26/1990,C525,Unknown,,,,2,CH,97,,
20054,3/26/1990,C525,Unknown,,,,2,CH,97,,
369,3/26/1990,8018,Unknown,,,,2,CH,81,,
20055,3/26/1990,8018,Unknown,,,,2,CH,81,,
370,3/28/1990,C710,Unknown,,,,2,CH,70,,
20056,3/28/1990,C710,Unknown,,,,2,CH,70,,
371,3/30/1990,CH13,Unknown,,,,2,CH,87,,
20057,3/30/1990,CH13,Unknown,,,,2,CH,87,,
372,3/30/1990,C718,Unknown,,,,2,CH,87,,
20058,3/30/1990,C718,Unknown,,,,2,CH,87,,
373,3/30/1990,8060,Unknown,,,,2,CH,88,,
20059,3/30/1990,8060,Unknown,,,,2,CH,88,,
374,3/31/1990,C710,Unknown,,,,2,CH,84,,
20060,3/31/1990,C710,Unknown,,,,2,CH,84,,
375,3/31/1990,C119,Unknown,,,,2,CH,78,,
20061,3/31/1990,C119,Unknown,,,,2,CH,78,,
376,3/31/1990,C119,Unknown,,,,2,CH,88,,
20062,3/31/1990,C119,Unknown,,,,2,CH,88,,
377,3/31/1990,C718,Unknown,,,,2,CH,110,,
20063,3/31/1990,C718,Unknown,,,,2,CH,110,,
378,4/2/1990,C406,Unknown,,,,2,CH,82,,
20064,4/2/1990,C406,Unknown,,,,2,CH,82,,
379,4/6/1990,C119,Unknown,,,,2,CH,81,,
20065,4/6/1990,C119,Unknown,,,,2,CH,81,,
380,4/6/1990,C133,Unknown,,,,2,CH,82,,
20066,4/6/1990,C133,Unknown,,,,2,CH,82,,
381,4/6/1990,CH13,Unknown,,,,2,CH,108,,
20067,4/6/1990,CH13,Unknown,,,,2,CH,108,,
382,4/8/1990,C773,Unknown,,,,2,CH,95,,
20068,4/8/1990,C773,Unknown,,,,2,CH,95,,
383,4/8/1990,CH13,Unknown,,,,2,CH,82,,
20069,4/8/1990,CH13,Unknown,,,,2,CH,82,,
384,4/12/1990,C718,Unknown,,,,2,CH,85,,
20070,4/12/1990,C718,Unknown,,,,2,CH,85,,
385,4/21/1990,C119,Unknown,,,,2,CH,95,,
20071,4/21/1990,C119,Unknown,,,,2,CH,95,,
386,5/1/1990,C119,Unknown,,,,2,CH,69,,
20072,5/1/1990,C119,Unknown,,,,2,CH,69,,
387,3/28/1989,C119,U6X25,,,,3,CH,96,1,
388,2/25/1991,ANGS,Y9X01,,,,2,AN,68,1,
389,2/3/2001,MESS,J9392,,,,2,ARHH,64,1,
390,2/3/2001,MESS,J9035,,,,3,ARAN,66,1,
