chaps_id,birthdate,sire,dam,regnum,elecID,regname,sex,sex_date,breed
40062,3/21/2004,UNKNLO,M2160,,982000007488876,,,,LOANHH
40063,3/23/2004,UNKNLO,M2088,,982000007220167,,,,LOANAR
40064,4/5/2004,UNKNLO,M2182,,982000007623251,,,,LOHHAN
40065,,PAPARITO,,11136428,,PAPA BLACKBIRD 8810,,,AN
40066,8/26/1973,CHOCF373,PBC6F,58495,,,,,AR
40067,9/10/1970,KAIDAHCF,,33457,,,,,AR
40068,,PSPOWER,,1041891,,BLACKCAP SAMANTHA PP 338,,,AN
40069,3/20/2005,307M,N3090,,985152000930430,,,,LOANHHAR
40070,3/29/2005,UNKNLO,N3446,,982000007489329,,,,LOHH
40072,4/8/2005,307M,N3089,,,,,,LOANANAN
40073,4/10/2005,UNKNLO,N3055,,982000007624002,,,,LOANANAN
40074,4/10/2005,307M,N3265,,982000044681024,,,,LOANHHAN
40075,4/12/2005,307M,N3059,,,,,,LOANHHAR
40076,4/12/2005,307M,N3072,,,,,,LOANHHAN
40077,5/7/2005,307M,N3306,,982000044680802,,,,LOHHHHAR
40078,5/7/2005,307M,N3330,,982000044680285,,,,LOANHHAN
40079,3/21/1978,RCNROGI4,RCNXARM,95647,,,,,AR
40080,5/4/1974,RRRBURKE,MDGLNRC,66267,,,,,AR
40081,3/15/1975,ROCKYMTN,,73399,,,,,AR
40082,3/22/2006,UNKNLO,P4018,,982009104189698,,,,LOANHHAN
40084,3/28/2006,307M,N3306,,999000000004180,,,,LOHHHHAR
40086,3/28/2006,UNKNLO,P4143,,982009104180129,,,,LOANANGV
40088,3/29/2006,307M,N3164,,982000044679678,,,,LOAN
40089,3/31/2006,UNKNLO,P4127,,982009104079522,,,,LOANHP
40090,3/31/2006,UNKNLO,P4090,,999000000000009,,,,LOANAR
40091,3/31/2006,307M,N3113,,982009104079596,,,,LOANANHH
40092,4/1/2006,UNKNLO,P4022,,982009104079394,,,,LOAN
40093,4/1/2006,UNKNLO,P4042,,982009104079731,,,,LOAN
40095,4/1/2006,307M,N3305,,982009104070555,,,,LOARHH
40096,4/2/2006,UNKNLO,P4038,,982009104078652,,,,LOANANHH
40097,4/3/2006,307M,N3272,,999000000000125,,,,LOARHPAN
40098,4/3/2006,307M,N3090,,982009104069134,,,,LOANHHAR
40099,4/6/2006,UNKNLO,P4021,,999000000000175,,,,LOANHHAN
40100,4/8/2006,UNKNLO,P4034,,982000039974257,,,,LOANANHH
40101,4/9/2006,UNKNLO,P4005,,982009104079717,,,,LOANANHH
40102,4/9/2006,UNKNLO,P4076,,982009104078108,,,,LOANHH
40103,4/9/2006,UNKNLO,P4026,,982009104079777,,,,LOANHHAN
40104,4/13/2006,UNKNLO,P4111,,982009104079080,,,,LOANHHAR
40105,4/13/2006,UNKNLO,P4012,,982009104180622,,,,LOANHHAN
40106,4/13/2006,UNKNLO,P4002,,982009104079679,,,,LOANANAN
40107,4/15/2006,UNKNLO,P4003,,982009104079567,,,,LOAN
40108,4/15/2006,UNKNLO,P4010,,982009104079796,,,,LOANHHAN
40109,4/15/2006,UNKNLO,P4056,,982009104079599,,,,LOANANGV
40110,4/17/2006,UNKNLO,P4067,,982009104079485,,,,LOANAR
40111,4/22/2006,UNKNLO,P4101,,982009104079798,,,,LOAN
40112,4/26/2006,UNKNLO,P4032,,982009104190825,,,,LOANAR
40113,4/26/2006,UNKNLO,P4120,,982009104079562,,,,LOANANHH
40114,4/28/2006,UNKNLO,P4013,,982009104079800,,,,LOANANAR
40115,4/30/2006,UNKNLO,P4130,,982009104201757,,,,LOANHH
40116,5/5/2006,UNKNLO,P4129,,982009104079730,,,,LOANHH
40117,5/9/2006,UNKNLO,P4060,,982009104079588,,,,LOAN
40118,5/15/2006,UNKNLO,P4069,,982009104079880,,,,LOANANHH
40119,5/26/2006,307M,N3089,,982009104079074,,,,LOANANAN
40120,,PSPOWER,,10830647,,SUMMITCREST AIRN U044,,,AN
40124,3/21/2008,307M,N3305,,949000000075895,,,,LOARHH
40125,3/22/2008,307M,S6038,,949000000006294,,,,LOANHHAN
40126,3/22/2008,307M,N3089,,949000000007115,,,,LOANANAN
40129,3/23/2008,UNKNLO,S6154,,949000000039731,,,,LOARANHH
40130,3/24/2008,UNKNLO,S6107,,949000000072620,,,,LOARHH
40131,3/24/2008,UNKNLO,S6247,,949000000015010,,,,LOARAN
40134,3/25/2008,UNKNLO,S6131,,949000000040026,,,,LOARANHH
40138,3/27/2008,UNKNLO,S6070,,949000000196257,,,,LOANHHAN
40139,3/27/2008,UNKNLO,S6046,,949000000016024,,,,LOANHHAN
40141,3/29/2008,UNKNLO,S6011,,949000000015356,,,,LOAN
40142,3/30/2008,UNKNLO,S6069,,949000000249320,,,,LOANHHAN
40144,4/2/2008,UNKNLO,S6006,,949000000198804,,,,LOANANHH
40148,4/11/2008,UNKNLO,S6051,,949000000013923,,,,LOANARAN
40149,4/13/2008,UNKNLO,S6065,,949000000247682,,,,LOAN
40150,4/13/2008,UNKNLO,S6086,,949000000070457,,,,LOANAR
40153,4/16/2008,UNKNLO,S6102,,949000000008213,,,,LOANHPAN
40156,4/21/2008,UNKNLO,S6049,,949000000198666,,,,LOANHHAN
40157,4/29/2008,UNKNLO,S6016,,949000000194493,,,,LOANANGV
40159,,,,,,,,,
40163,3/26/2009,7AN221,N3305,,982000128138371,,,,ANARHH
40167,4/1/2009,7AN221,N3272,,982000128138377,,,,ANARHPAN
40176,4/16/2009,S48,N3089,,982000128138354,,,,ARANANAN
40180,3/24/2010,UNKNLO,S6026,,949000000249537,,,,LOANARAN
40181,3/24/2010,UNKNLO,U8218,,949000000006162,,,,LOARANAN
40182,4/9/2010,UNKNLO,U8096,,949000000072799,,,,LOARHHHH
40183,3/18/2010,LEXUS,,,949000000249703,,,,LOANMX
40184,3/20/2010,UTAH,,,949000000249653,,,,LOANAN
40185,3/20/2010,SHERMAN,,,949000000248096,,,,LOANSM
40186,3/21/2010,DURBIN,,,949000000007332,,,,LOANAN
40187,3/22/2010,UTAH,,,949000000008887,,,,LOANAN
40188,3/24/2010,DURBIN,,,949000000075050,,,,LOANAN
40189,3/29/2010,SHERMAN,,,949000000101499,,,,LOANAN
40190,4/6/2010,UNKNLO,,,949000000072062,,,,LOANAN
40191,4/7/2010,UNKNLO,,,949000000016054,,,,LOANAN
40192,4/8/2010,UNKNLO,,,949000000199108,,,,LOANAN
40193,4/12/2010,UNKNLO,,,949000000007726,,,,LOAN
40194,4/16/2010,UNKNLO,,,949000000004817,,,,LOANAN
40195,4/17/2010,UNKNLO,,,949000000071785,,,,LOANAN
40196,4/27/2010,UNKNLO,,,949000000007471,,,,LOANAN
40197,2/27/2011,59LO1,W9126,,982000172933780,,,,LOARAN
40198,2/28/2011,59LO1,W9185,,982000172933803,,,,LOARANHH
40199,3/4/2011,59LO1,W9234,,982000172933797,,,,LOARHHAR
40200,3/4/2011,59LO1,W9012,,,,,,LOANHH
40201,3/4/2011,59LO1,W9190,,982000172933792,,,,LOARANAR
40202,3/5/2011,59LO1,W9095,,,,,,LOANAR
40203,3/14/2011,UNKNLO,W9149,,982000172933788,,,,LOARANHH
40204,3/17/2011,UNKNLO,W9250,,982000172933806,,,,LOARANHH
40205,3/20/2011,UNKNLO,W9165,,982000172933789,,,,LOARANHP
40206,3/20/2011,UNKNLO,W9137,,,,,,LOARAN
40207,3/24/2011,UNKNLO,W9024,,,,,,LOANHHHH
40208,4/15/2011,UNKNLO,W9083,,,,,,LOANANHH
40209,3/30/2011,UNKNLO,1006,,982000128138579,,,,LO
40210,4/3/2011,UNKNLO,1019,,982000128138751,,,,LO
40211,4/4/2011,UNKNLO,1027,,982000128138623,,,,LO
40212,4/7/2011,UNKNLO,1038,,982000128138722,,,,LO
40213,4/7/2011,UNKNLO,1039,,982000128138672,,,,LO
40214,4/20/2011,UNKNLO,1140,,982000128138591,,,,LO
40215,4/30/2011,UNKNLO,1305,,982000128138489,,,,LO
40216,5/5/2011,UNKNLO,1349,,982000128138966,,,,LO
