chaps_id,birthdate,breed,regnum,regname,elecid,sireid,dam,sex,sex_date,Bw,CE,state,herdid
20184,,AN,9891499,TEHAMA BANDO 155,,BANDO155,,1,,,,,H38
20185,,AR,1293,,,BBASCOMR,,1,,,,,H38
20186,1997-04-14,AR,574873,,,BFCC4912,MRM1431,1,,,,,H38
20187,1978-03-17,AR,,100598,,BFLOCRVC,MDMADCP,1,,,,,H38
20188,,AR,,,,BKTHIRZ4,,1,,,,,H38
20189,,,,,,BLKVBB,,1,,,,,H38
20190,,AN,10711858,B/R MISTER T 545,,BR545,,1,,,,,H38
20191,1988-03-04,AR,299558,,,BUCC1658,BFLOCRK,1,,,,,H38
20192,1984-02-28,AR,170753,,,BUFCC824,BUFCKLA,1,,,,,H38
20193,,,,,,BUFCRK14,,1,,,,,H38
20194,,AN,9471066,BLACK WITCH CORBINAIRE 95,,BWC95,,1,,,,,H38
20195,,AN,,,,C,,1,,,,,H38
20196,,CH,,,,C109,,1,,,,,H38
20197,,CH,,,,C119,,1,,,,,H38
20198,,CH,,,,C133,,1,,,,,H38
20199,1996-06-03,HH,CAN2650999,FE 34Z STANDARD 69F,,C2650999,C2438498,1,,,,,H38
20200,,CH,,,,C406,,1,,,,,H38
20201,,CH,,,,C525,,1,,,,,H38
20202,,CH,,,,C613,,1,,,,,H38
20203,,CH,,,,C710,,1,,,,,H38
20204,,CH,,,,C718,,1,,,,,H38
20205,,CH,,,,C773,,1,,,,,H38
20206,,CH,,,,C919,,1,,,,,H38
20207,,CH,,,,C937,,1,,,,,H38
20208,,CH,,,,C958,,1,,,,,H38
20209,,CH,,,,CH11,,1,,,,,H38
20210,,CH,,,,CH13,,1,,,,,H38
20211,,CH,,,,CH41,,1,,,,,H38
20212,,AN,10749607,PREMIER CHAIRMAN 6011A,,CH6011A,,1,,,,,H38
20213,,CH,,,,CH87,,1,,,,,H38
20214,,AN,10173231,GREENBRAE CHAIRMAN,,CHAIRMAN,,1,,,,,H38
20215,1965-10-05,AR,13072,,,CHOCF373,KCELZB,1,,,,,H38
20216,,AR,,,,CHOCTCHF,,1,,,,,H38
20217,,AN,,,,D,,1,,,,,H38
20218,2010-01-25,SM,2570100,,9.49E+14,D3X7,2460406,1,,,,,H38
20219,,AR,179724,,,DBLEFK29,,1,,,,,H38
20220,,DR,,,,DEX4,,1,,,,,H38
20221,,LO,,,,DURBIN,,1,,,,,H38
20222,,AN,6064368,EMULATION 31,,EMUL31,,1,,,,,H38
20223,,AN,9678609,N BAR EMULATION 8520,,EMUL8520,,1,,,,,H38
20224,,AN,,EXT EMULATION,,EXTS,,1,,,,,H38
20225,,AN,,,,F,,1,,,,,H38
20226,,HH,40036740,GH MEDAL BRITISHR 52E ET,,GHMEDAL,,1,,,,,H38
20227,1997-02-19,AR,557331,,,GLACH744,GLACRBA,1,,,,,H38
20228,1992-02-07,AR,372629,,,GLACL210,GLCRBLA,1,,,,,H38
20229,,HH,,,,H109,,1,,,,,H38
20230,,HH,,,,H38,,1,,,,,H38
20231,,HH,,,,H48,,1,,,,,H38
20232,,AN,10349477,HIGHWOOD HERO L C H,,HERO,,1,,,,,H38
20233,,AN,10848637,R R HERO 6267,,HERO6267,,1,,,,,H38
20234,,HH,,,,HH55,,1,,,,,H38
20235,,AN,9324765,BASIN HIGH TIME,,HIGHTIME,,1,,,,,H38
20236,1992-02-13,AR,373544,MLK CRK HOBO 5228,,HOBO,,1,,,,,H38
20237,,,,,,HP100,,1,,,,,H38
20238,,,,,,HP101,,1,,,,,H38
20239,,HP,,,,HP86,,1,,,,,H38
20240,,HP,,,,HP92,,1,,,,,H38
20241,,HP,,,,HP93,,1,,,,,H38
20242,1987-01-05,HP,18838131,,,HP95,18632384,1,,,,,H38
20243,,HP,,,,HPU2,,1,,,,,H38
20244,,HP,,,,HPU9,,1,,,,,H38
20245,,HP,,,,HPX5,,1,,,,,H38
20246,,HP,,,,HU10,,1,,,,,H38
20247,,HP,,,,HX15,,1,,,,,H38
20248,,AN,10112151,LEMON IMPACT,,IMPACT,,1,,,,,H38
20249,,,,,,JHLAR,,1,,,,,H38
20250,1973-03-19,AR,58788,,,JHLDY417,HOMAMB,1,,,,,H38
20251,,,,,,JTL90KK,,1,,,,,H38
20252,,AN,10335630,KADENCE RIFLEMAN,,KADENCE,,1,,,,,H38
20253,,AR,15185,,,KAIDAHCF,,1,,,,,H38
20254,,,,,,KAPTPLNT,TRI1001,1,,,,,H38
20255,,HH,,,,L07,,1,,,,,H38
20256,,HH,,,,L08,,1,,,,,H38
20257,,HH,,,,L09,,1,,,,,H38
20258,,HH,,,,L12,,1,,,,,H38
20259,,HH,,,,L15,,1,,,,,H38
20260,1999-03-30,HH,41167437,L DAKOTA AUTUMN 957,,L17,19394319,1,,,,,H38
20261,1999-04-06,HH,41167439,L DAKOTA AUTUMN 965,,L18,19593530,1,,,,,H38
20262,2001-03-02,HH,42223519,L SUNDANCE 118,,L23,19540746,1,,,,,H38
20263,,HH,,,,L26,,1,,,,,H38
20264,1998-03-07,HH,41068670,L DAKOTA AUTUMN 875,,L28,19394299,1,,,,,H38
20265,,,,,,LCHMR012,,1,,,,,H38
20266,1987-02-09,AR,275682,,,LCHROB,LCHDU,1,,,,,H38
20267,1988-02-07,AR,299211,,,LEACHEVN,,1,,,,,H38
20268,,,,,,LEACHMNA,,1,,,,,H38
20269,,LO,,,,LEXUS,,1,,,,,H38
20270,1990-02-16,AR,335067,,,LKIR8621,LCHELEN,1,,,,,H38
20271,2002-01-29,AR,832407,,,LMLA502M,KRNRERO,1,,,,,H38
20272,,LO,,,,LO,,1,,,,,H38
20273,,AN,9819973,LOVANA,,LOVANA,,1,,,,,H38
20274,1990-01-29,AR,326175,LARSON SUNDANCE 001,,LRA,,1,,,,,H38
20275,1992-04-30,AR,385484,,,LRH1174B,LCHPRL,1,,,,,H38
20276,2002-05-09,HH,42287234,,9.49E+14,M234,19555135,1,,,,,H38
20277,2002-04-27,HH,42287255,,9.49E+14,M255,19583647,1,,,,,H38
20278,2002-03-26,HH,,SR MAGNET 462,,M323,19570055,1,,,,,H38
20279,2002-04-21,HH,42287361,SR SANDMAN 1272,,M361,40005441,1,,,,,H38
20280,2002-04-21,HH,42287362,,,M362,40005441,1,,,,,H38
20281,2002-04-19,HH,42287370,,9.49E+14,M370,40042479,1,,,,,H38
20282,2002-05-22,HH,42287389,,9.49E+14,M389,40042525,1,,,,,H38
20283,,LO,,,,M398,,1,,,,,H38
20284,2002-04-24,HH,42287422,,9.49E+14,M422,40045567,1,,,,,H38
20285,2002-03-28,HH,42287429,,9.49E+14,M429,41053189,1,,,,,H38
20286,2002-03-26,HH,42287433,,9.49E+14,M433,41053020,1,,,,,H38
20287,2002-03-27,HH,42287459,,9.49E+14,M459,41034505,1,,,,,H38
20288,2002-04-05,HH,42287465,,,M465,41034704,1,,,,,H38
20289,2002-04-10,HH,42287470,,,M470,41007692,1,,,,,H38
20290,2002-04-21,HH,42287537,SR COMET 1252,,M537,41131050,1,,,,,H38
20291,2002-03-08,HH,42287582,SR MARK DON 802,,M582,42078300,1,,,,,H38
20292,2010-02-14,SM,2570118,,9.49E+14,M59,2183664,1,,,,,H38
20293,,,,,,MADCP605,,1,,,,,H38
20294,,,,,,MDMAD,,1,,,,,H38
20295,,AR,,Messmer Red Angus Bulls,,MESS,,1,,,,,H38
20296,1984-01-10,AR,166282,,,MRMPRIME,,1,,,,,H38
20297,,AR,,,,MS03,,1,,,,,H38
20298,,AR,,,,MS11,,1,,,,,H38
20299,,AR,,,,MS13,,1,,,,,H38
20300,,AR,,,,MS17,,1,,,,,H38
20301,,AR,,,,MS28,,1,,,,,H38
20302,,MS,,,,MS36,,1,,,,,H38
20303,,MS,,,,MS38,,1,,,,,H38
20304,,AR,,,,MS41,,1,,,,,H38
20305,,AR,,,,MS43,,1,,,,,H38
20306,,AR,,,,MS46,,1,,,,,H38
20307,2003-03-28,HH,42408174,,,N174,42078510,1,,,,,H38
20308,2003-03-17,HH,42420194,,,N194,41139404,1,,,,,H38
20309,2003-03-09,HH,42408305,,,N305,42197977,1,,,,,H38
20310,2003-04-24,HH,42407506,,9.49E+14,N506,19518703,1,,,,,H38
20311,2003-03-30,HH,42407563,,9.49E+14,N563,,1,,,,,H38
20312,2003-03-28,HH,42407659,,9.49E+14,N659,19578502,1,,,,,H38
20313,2003-04-13,HH,42407737,,9.49E+14,N737,19578610,1,,,,,H38
20314,2003-04-10,HH,42407762,,,N762,19589827,1,,,,,H38
20315,2003-04-11,HH,41123437,,,N861,40031007,1,,,,,H38
20316,1976-03-09,AR,78553,,,OKDBLCHF,PBC373,1,,,,,H38
20317,2010-01-01,LO,,,9.49E+14,OX19,,1,,,,,H38
20318,,UNKNHH,,,9.49E+14,P026,,1,,,,,H38
20319,,HH,,,9.82009E+14,P065,,1,,,,,H38
20320,2004-03-25,AR,992329,,,P329,BARN CH,1,,,,,H38
20321,,HH,42496586,,9.82009E+14,P586,,1,,,,,H38
20322,,HH,42496630,,9.82009E+14,P630,,1,,,,,H38
20323,,HH,42495715,,9.82009E+14,P715,,1,,,,,H38
20324,2004-05-01,LO,FM3990,,9.82E+14,P90,FF156,1,,,,,H38
20325,,AN,10846681,PAPA RITO T INTENSE DHD 6844,,PAPARITO,,1,,,,,H38
20326,,AR,41855,,,PBC373,,1,,,,,H38
20327,1972-03-14,AR,47437,,,PBC373D0,EYEMP4,1,,,,,H38
20328,,AR,70736,,,PBCD02,,1,,,,,H38
20329,1975-03-17,AR,70773,,,PBCD6MH1,PHCBAND,1,,,,,H38
20330,,AN,10852649,BEAR CREEK POWER DRIVE 6106,,PD6106,,1,,,,,H38
20331,,AN,8974207,P S POWER PLAY,,PSPOWER,,1,,,,,H38
20332,,AN,9250717,Q A S TRAVELER 23-4,,QAS234,,1,,,,,H38
20333,2005-01-01,LO,,,9.49E+14,R100,,1,,,,,H38
20334,,AN,10388929,G D A R RAINMAKER 340,,RAIN340,,1,,,,,H38
20335,,CH,,,,RBOW,,1,,,,,H38
20336,1980-04-16,AR,120186,,,RCNCAN92,RCNEXA,1,,,,,H38
20337,1978-03-16,AR,95641,,,RCNCYNCF,RCNIDGO,1,,,,,H38
20338,,AR,,,,RCNDY606,,1,,,,,H38
20339,1976-03-12,AR,87772,,,RCNDY614,RCNIDGO,1,,,,,H38
20340,1974-02-28,AR,66260,,,RCNROGI4,,1,,,,,H38
20341,,AR,1533,,,REDCOPPR,,1,,,,,H38
20342,,,,,,REDMAC,,1,,,,,H38
20343,,AN,,,,REF1,,1,,,,,H38
20344,,AN,,,,REF2,,1,,,,,H38
20345,,,9682589,RITO 9J9 OF B156 7T26,,RITO9J9,,1,,,,,H38
20346,,AR,35607,,,RLGALENA,,1,,,,,H38
20347,,AR,8496,,,ROCKYMTN,,1,,,,,H38
20348,,AR,,,,RRRBURKE,,1,,,,,H38
20349,2006-03-12,AR,1114775,,9.82E+14,S13,971798,1,,,,,H38
20350,,AR,,,,S30,,1,,,,,H38
20351,2006-03-26,HH,42728135,,9.82E+14,S30HH,42287339,1,,,,,H38
20352,2006-01-26,HH,X4121210,,9.82E+14,S3153,X4011729,1,,,,,H38
20353,2006-03-28,HH,42728678,,9.82E+14,S32,42287288,1,,,,,H38
20354,2006-05-09,LO,,,,S375,,1,,,,,H38
20355,2006-04-08,AR,1114780,,9.82E+14,S48,958997,1,,,,,H38
20356,2006-04-08,AR,1101273,,9.82E+14,S49,407740,1,,,,,H38
20357,2006-03-03,LO,,,,S501,EZ MISS,1,,,,,H38
20358,,AR,,,,S58,,1,,,,,H38
20359,2006-04-13,AR,1114786,,9.82E+14,S59,407740,1,,,,,H38
20360,2006-02-24,AR,1129721,,9.82E+14,S6032,992245,1,,,,,H38
20361,2006-02-26,AR,1129750,,9.82E+14,S6042,632709,1,,,,,H38
20362,2006-02-28,AR,1129732,,9.82E+14,S6054,549221,1,,,,,H38
20363,2006-03-31,AR,1129780,,9.82E+14,S6153,667864,1,,,,,H38
20364,2006-04-05,AR,1129717,,,S6158,992270,1,,,,,H38
20365,2006-04-14,HH,42727065,,9.82E+14,S64,41026053,1,,,,,H38
20366,2006-03-11,HH,X4121962,,9.82E+14,S642,X4058156,1,,,,,H38
20367,2006-03-21,HH,X4121963,,9.82E+14,S655,X4058144,1,,,,,H38
20368,2006-03-24,HH,X4121964,,9.82E+14,S659,X4058161,1,,,,,H38
20369,2006-04-29,HH,X4124729,,9.82E+14,S671,X4058142,1,,,,,H38
20370,2006-03-04,HH,42729126,,9.82E+14,S73,42495930,1,,,,,H38
20371,2006-03-04,HH,42729127,,9.82E+14,S74,42495930,1,,,,,H38
20372,2006-03-13,HH,42731469,,9.82E+14,S9,SBROBYN,1,,,,,H38
20373,,LO,,,,SHERMAN,,1,,,,,H38
20374,,CH,,,,SKOG,,1,,,,,H38
20375,2001-02-17,HH,42200613,SR STANDARD 61,,SR006,42167185,1,,,,,H38
20376,2000-03-18,HH,42073845,SR PATROL 0103,,SR0103,40045544,1,,,,,H38
20377,2001-04-06,HH,42197981,SR BRITISHER 1101,,SR0110,19564652,1,,,,,H38
20378,2001-03-12,HH,42197737,LS IMPRINT 161,,SR016,19381981,1,,,,,H38
20379,,HH,,,,SR03,,1,,,,,H38
20380,2001-04-01,HH,42197948,SR IMPRINT 991,,SR099,19583594,1,,,,,H38
20381,2001-04-04,HH,42197732,SR MAGNET 1051,,SR105,19306637,1,,,,,H38
20382,,HH,,,,SR109,,1,,,,,H38
20383,,HH,,,,SR110,,1,,,,,H38
20384,2000-03-21,HH,42078100,SR IMPRINT 290,,SR29,19583647,1,,,,,H38
20385,1999-03-24,HH,41130962,SR COMMAND 349,,SR34,19532358,1,,,,,H38
20386,2000-03-24,HH,42077969,DS COMMAND 360,,SR36,DSM370,1,,,,,H38
20387,,HH,,,,SR37,,1,,,,,H38
20388,,HH,,,,SR48,,1,,,,,H38
20389,,HH,,,,SR49,,1,,,,,H38
20390,2000-04-10,HH,42077966,SR MAGNET 610,,SR610,19382093,1,,,,,H38
20391,2001-03-27,HH,42197914,SR MAGNET 641,,SR64,19583593,1,,,,,H38
20392,1998-04-18,HH,41007699,SR PATRIOT 8189,,SR74,BBMS804,1,,,,,H38
20393,2000-03-06,HH,42078458,DS MARK DOMINO 750,,SR75,41053182,1,,,,,H38
20394,,HH,,,,SR92,,1,,,,,H38
20395,2001-03-31,HH,42197773,SR MAGNET 941,,SR94,19532315,1,,,,,H38
20396,,HH,,,,SR96,,1,,,,,H38
20397,,AR,,,,SS30,,1,,,,,H38
20398,,AN,,,,ST99,,1,,,,,H38
20399,1957-02-16,AR,1434,,,STORMALG,,1,,,,,H38
20400,,HH,,STUBER HEREFORDS,,STUB,,1,,,,,H38
20401,2007-02-10,SH,X4132095,,,T713,,1,,,,,H38
389,2007-03-30,LOHHARHH,,,9.49E+14,T7131,FM9,1,,,,,H38
20403,,HH,40004855,,,THH1712,,1,,,,,H38
20404,,HH,19427495,,,THH415,,1,,,,,H38
20405,,HH,19492955,,,THH516,,1,,,,,H38
20406,,HH,19604679,,,THH6032,,1,,,,,H38
20407,,HH,19604731,,,THH6106,,1,,,,,H38
20408,,HH,19515126,,,THH95430,,1,,,,,H38
20409,,HH,19574262,,,THH96910,,1,,,,,H38
20410,1976-04-18,AR,62700,,,THUNDERB,,1,,,,,H38
20411,,AN,,,,TT99,,1,,,,,H38
20412,2008-03-06,AR,1242067,,9.82E+14,U03,JULIAS98,1,,,,,H38
