chaps_id,birthdate,breed,registration,regname,elecid,sireid,cowid,sex,sex_date,birthwt,calvingease,status,herdid
186,4/22/1993,CH,,,,9136,Unknown,2,,79,,,H38
187,4/23/1993,CH,,,,710,Unknown,2,,100,,,H38
188,4/24/1993,CH,,,,8018,Unknown,2,,99,,,H38
189,4/28/1993,CH,,,,525,Unknown,2,,114,,,H38
190,4/29/1993,CH,,,,133,Unknown,2,,112,,,H38
191,5/3/1993,CH,,,,8018,Unknown,2,,65,,,H38
192,5/3/1993,CH,,,,A136,Unknown,2,,108,,,H38
193,5/14/1993,CH,,,,525,Unknown,2,,69,,,H38
194,5/17/1993,CH,,,,UNKNCH,Unknown,2,,89,,,H38
195,4/28/2013,LO,,,,UNKNLO,Y1230,3,,50,1,,H38
196,4/29/2013,LOLOARAN,,,,UNKNLO,Y1008,2,,35,1,,H38
197,4/30/2013,LOLOANAN,,,,UNKNLO,Y1209,3,,48,1,,H38
198,5/1/2013,LOLOARAN,,,,UNKNLO,Y1054,2,,45,1,,H38
199,5/3/2013,ARLOANAN,,,,V131,X0262,3,,60,1,,H38
200,5/3/2013,ARLOANAN,,,,V131,X0298,2,,60,1,,H38
201,5/5/2013,LOLOARAN,,,,UNKNLO,Y1002,3,,63,1,,H38
202,5/5/2013,ARLOANHH,,,,V103,U8116,2,,60,1,,H38
203,5/6/2013,ARLOANSM,,,,V131,X0264,2,,74,1,,H38
204,5/8/2013,ARLOARHH,,,,X146,N3099,3,,84,1,,H38
205,5/8/2013,LOLOARAN,,,,UNKNLO,Y1073,3,,54,1,,H38
206,5/8/2013,LO,,,,UNKNLO,Y1234,2,,45,1,,H38
207,5/9/2013,ARLOARAN,,,,V103,U8039,3,,75,1,,H38
208,5/8/2013,ARLOAN,,,,V103,S6104,2,,72,1,,H38
209,5/8/2013,ARLOANAN,,,,V103,U8302,3,,72,1,,H38
210,5/10/2013,ARARLOAN,,,,V103,W9053,3,,73,1,,H38
211,5/10/2013,LOLOARHH,,,,UNKNLO,Y1019,3,,62,1,,H38
212,5/11/2013,ARLOHH,,,,X187,W9157,3,,76,1,,H38
213,5/11/2013,ARLOANMX,,,,V131,X0259,2,,65,1,,H38
214,5/12/2013,ARLOARAN,,,,V103,U8054,3,,83,1,,H38
215,5/12/2013,ARLOANHH,,,,V103,S6183,3,,80,1,,H38
216,5/14/2013,ARARLOAN,,,,W12,W9148,3,,89,1,,H38
217,5/15/2013,LOLOANAR,,,,UNKNLO,Y1027,3,,50,1,,H38
218,5/15/2013,ARLOANAN,,,,V131,X0271,3,,70,1,,H38
219,5/15/2013,ARLOANHH,,,,W12,S6197,2,,70,1,,H38
220,5/16/2013,ARLOANHH,,,,W12,U8082,3,,90,1,,H38
221,5/16/2013,ARLOLOHH,,,,W12,S6093,2,,75,1,,H38
222,5/16/2013,ARLOANAR,,,,V131,X0087,3,,70,1,,H38
223,5/17/2013,LO,,,,UNKNLO,Y1235,3,,70,1,,H38
224,5/17/2013,ARARLOAN,,,,W12,W9187,3,,64,1,,H38
225,5/18/2013,ARLOHHAR,,,,X187,S6072,2,,63,1,,H38
226,5/18/2013,ARLOARHH,,,,W12,U8012,2,,84,1,,H38
227,5/18/2013,ARANARHH,,,,W12,W9070,2,,80,1,,H38
228,5/18/2013,ARARLOAN,,,,V103,U8020,3,,70,1,,H38
229,5/19/2013,ARLOAN,,,,X187,S6230,3,,84,1,,H38
230,5/19/2013,ARLOANAN,,,,V131,X0293,2,,88,1,,H38
231,5/19/2013,ARLOANAN,,,,X146,S6242,3,,85,1,,H38
232,5/19/2013,ARLOLOAN,,,,X146,S6096,2,,79,1,,H38
233,5/19/2013,ARLOANHH,,,,V103,U8081,3,,70,1,,H38
234,5/19/2013,LOLOANHH,,,,UNKNLO,Y1116,2,,51,1,,H38
235,5/19/2013,LO,,,,UNKNLO,Y1229,3,,54,1,,H38
236,5/19/2013,LOLOANHH,,,,UNKNLO,Y1020,3,,67,1,,H38
237,5/20/2013,LO,,,,UNKNLO,Y1242,2,,54,1,,H38
238,5/20/2013,ARLOANHH,,,,X146,P4108,3,,80,1,,H38
239,5/20/2013,ARLOANAN,,,,V131,X0294,2,,60,1,,H38
240,5/20/2013,ARLOANHH,,,,W12,S6248,3,,73,1,,H38
241,5/20/2013,LOLOARAN,,,,UNKNLO,Y1090,2,,54,1,,H38
242,5/21/2013,LOLOARAN,,,,UNKNLO,Y1022,3,,56,1,,H38
243,5/21/2013,ARLOANHH,,,,X146,S6165,2,,75,1,,H38
244,5/21/2013,ARLOARAN,,,,V131,X0089,3,,75,1,,H38
245,5/21/2013,ARARLOAN,,,,V103,W9224,3,,80,1,,H38
246,5/21/2013,ARARLOAN,,,,W12,U8044,3,,83,1,,H38
247,5/21/2013,ARLOLOHH,,,,W12,U8133,2,,73,1,,H38
248,5/21/2013,ARLOANHH,,,,X187,S6164,2,,84,1,,H38
249,5/22/2013,ARARLOAN,,,,V103,W9069,2,,75,1,,H38
250,5/23/2013,ARLOANAN,,,,W12,S6094,2,,70,1,,H38
251,5/24/2013,ARARLOAN,,,,V103,W9077,2,,70,1,,H38
252,5/24/2013,ARLOANGV,,,,X146,P4082,2,,84,1,,H38
253,5/24/2013,ARARLOLO,,,,V103,W9215,3,,89,1,,H38
254,5/24/2013,ARLOANAN,,,,W12,S6124,2,,69,1,,H38
255,5/25/2013,ARARLOLO,,,,W12,U8163,3,,93,1,,H38
256,5/25/2013,ARLOANAN,,,,V131,X0290,3,,77,1,,H38
257,5/25/2013,ARLOANHH,,,,W12,U8285,3,,72,1,,H38
258,5/25/2013,ARLOANAN,,,,V131,X0269,2,,64,1,,H38
259,5/25/2013,ARLOAN,,,,V131,X0291,2,,70,1,,H38
260,5/26/2013,ARLOAN,,,,W12,S6115,2,,69,1,,H38
261,5/26/2013,ARARLOAN,,,,W12,W9188,3,,93,1,,H38
262,5/27/2013,ARLOANAN,,,,V131,X0287,2,,74,1,,H38
263,5/29/2013,ARARLOAN,,,,V103,U8242,3,,85,1,,H38
264,5/29/2013,ARLOANAN,,,,X187,S6273,3,,110,1,,H38
265,5/29/2013,ARARLOAN,,,,W12,U8045,2,,75,1,,H38
266,5/29/2013,LO,,,,UNKNLO,Y1253,3,,65,1,,H38
267,5/29/2013,ARLOANAN,,,,W12,S6266,2,,110,1,,H38
268,5/30/2013,ARARANAN,,,,W12,W9216,2,,85,1,,H38
269,5/30/2013,ARARLOAN,,,,V103,W9109,2,,74,1,,H38
270,6/2/2013,ARLOHHAR,,,,W12,U8190,3,,86,1,,H38
271,6/3/2013,ARLOANAN,,,,V131,X0266,2,,72,1,,H38
272,6/3/2013,ARARLOAN,,,,V103,U8278,2,,90,1,,H38
273,6/3/2013,ARLOARHH,,,,X187,S6122,3,,100,1,,H38
274,6/3/2013,ARLOARHH,,,,V131,X0180,2,,71,1,,H38
275,6/7/2013,LOLOARAN,,,,UNKNLO,Y1089,2,,65,1,,H38
276,6/6/2013,ARANLOAN,,,,V103,W9123,3,,96,1,,H38
277,6/7/2013,ARANLOHH,,,,V103,W9076,2,,75,1,,H38
278,6/9/2013,ARLOARAN,,,,V103,U8043,2,,83,1,,H38
279,5/3/2013,LO,,,,UNKNLO,Y1251,2,,50,1,,H38
280,6/6/2013,LO,,,,UNKNLO,Y1232,3,,80,1,,H38
281,4/27/2014,LMLOARAN,,,,UNKNLM,Y1008,2,,65,1,,H38
282,4/28/2014,ARARLOLO,,,,V131,U8163,2,,76,1,,H38
283,4/30/2014,ARLOANGV,,,,Y066,P4082,3,,85,1,,H38
284,5/1/2014,ARLOANAN,,,,UNKNAR,S6124,2,,80,1,,H38
285,5/1/2014,ARLOANAN,,,,Y066,X0271,2,,78,1,,H38
286,5/4/2014,ARLOARAN,,,,UNKNAR,U8054,3,,81,1,,H38
287,5/5/2014,ARARLOAN,,,,V131,U8044,3,,66,1,,H38
288,5/6/2014,ARLOANHH,,,,W12,U8081,2,,75,1,,H38
289,5/6/2014,ARLOARAN,,,,V131,X0089,2,,75,1,,H38
290,5/6/2014,ARLOHHAR,,,,V131,S6072,2,,49,1,,H38
291,5/7/2014,ARARLOAN,,,,V131,W9069,2,,65,1,,H38
292,5/7/2014,LOLOSHAN,,,,UNKNLO,Z2198,3,,62,1,,H38
293,5/7/2014,LMLOARAN,,,,UNKNLM,Y1002,3,,76,1,,H38
294,5/9/2014,LMLO,,,,UNKNLM,Y1234,2,,80,1,,H38
295,5/9/2014,LOLOANAR,,,,UNKNLO,Z2083,2,,55,1,,H38
296,5/9/2014,ARARLOAN,,,,W12,W9188,2,,75,1,,H38
297,5/9/2014,ARARLOAN,,,,UNKNAR,W9148,2,,74,1,,H38
298,5/10/2014,ARLOLOHH,,,,V131,U8133,3,,76,1,,H38
299,5/10/2014,ARLOARAN,,,,V131,U8039,3,,93,1,,H38
300,5/10/2014,ARLOANHH,,,,V131,S6164,3,,75,1,,H38
301,5/10/2014,ARLOHHAR,,,,Y066,U8190,2,,87,1,,H38
302,5/11/2014,LMLO,,,,UNKNLM,Y1242,3,,74,1,,H38
303,5/11/2014,ARLOANAN,,,,Y066,X0290,3,,89,1,,H38
304,5/12/2014,ARLOANHH,,,,V131,S6248,3,,70,1,,H38
305,5/12/2014,ARLOANAN,,,,V131,X0262,2,,60,1,,H38
306,5/12/2014,ARLOAN,,,,Y066,S6115,2,,84,1,,H38
307,5/12/2014,LMLO,,,,UNKNLM,Y1235,3,,96,1,,H38
308,5/13/2014,LOLOARGV,,,,UNKNLO,Z2202,3,,65,1,,H38
309,5/13/2014,ARLOLOHH,,,,V131,S6093,3,,72,1,,H38
310,5/14/2014,LMLO,,,,UNKNLM,Y1253,3,,85,1,,H38
311,5/14/2014,LMANLOHH,,,,UNKNLM,W9076,3,,82,1,,H38
312,5/14/2014,ARLOANAN,,,,V131,X0269,2,,65,1,,H38
313,5/15/2014,ARLOAN,,,,W12,S6104,3,,89,1,,H38
314,5/15/2014,ARLOANAN,,,,W12,X0294,2,,85,1,,H38
315,5/15/2014,LOLOARGV,,,,UNKNLO,Z2111,2,,60,1,,H38
316,5/16/2014,ARLOANAR,,,,V131,X0087,3,,75,1,,H38
317,5/16/2014,ARLOANHH,,,,V131,U8116,2,,65,1,,H38
318,5/17/2014,LMLO,,,,UNKNLM,Y1230,3,,74,1,,H38
319,5/17/2014,LOLOANGV,,,,UNKNLO,Z2061,3,,69,1,,H38
320,5/18/2014,ARARLOAN,,,,V131,W9109,2,,70,1,,H38
321,5/19/2014,ARLOANHH,,,,Y066,S6183,2,,83,1,,H38
322,5/19/2014,ARLOAN,,,,W12,S6230,3,,81,1,,H38
323,5/20/2014,ARARLOAN,,,,W12,U8045,2,,85,1,,H38
324,5/20/2014,ARLOANHH,,,,V131,U8082,3,,95,1,,H38
325,5/21/2014,ARARLOAN,,,,W12,W9224,2,,95,1,,H38
326,5/21/2014,LMANLOAN,,,,UNKNLM,W9123,2,,115,1,,H38
327,5/22/2014,ARARLOAN,,,,V131,U8242,3,,66,1,,H38
328,5/24/2014,ARARLOAN,,,,Y066,W9077,2,,90,1,,H38
329,5/25/2014,ARLOLOAN,,,,W12,S6096,2,,80,1,,H38
330,5/25/2014,ARLOANAN,,,,W12,X0298,3,,97,1,,H38
331,5/25/2014,ARANARHH,,,,Y066,W9070,2,,84,1,,H38
332,5/26/2014,LMLO,,,,UNKNLM,Y1229,3,,80,1,,H38
333,5/27/2014,ARLOANMX,,,,W12,X0259,3,,82,1,,H38
334,5/28/2014,ARARANAN,,,,W12,W9216,3,,114,1,,H38
335,5/28/2014,ARLOANAN,,,,V131,S6266,3,,93,1,,H38
336,5/28/2014,ARLOANAN,,,,UNKNAR,X0266,2,,92,1,,H38
337,5/28/2014,ARLOANSM,,,,V131,X0264,3,,82,1,,H38
338,5/28/2014,ARLOANAN,,,,W12,U8302,2,,115,1,,H38
339,5/28/2014,ARLOANHH,,,,W12,U8285,3,,91,1,,H38
340,5/28/2014,ARARLOAN,,,,W12,W9053,2,,67,1,,H38
341,5/29/2014,ARARLOAN,,,,W12,U8020,2,,68,1,,H38
342,5/31/2014,ARLOARHH,,,,V131,S6122,3,,80,1,,H38
343,6/1/2014,LMLOARHH,,,,UNKNLM,Y1019,3,,75,1,,H38
344,6/1/2014,ARLOANHH,,,,W12,S6197,3,,85,1,,H38
345,6/3/2014,LMLOARAN,,,,UNKNLM,Y1073,3,,83,1,,H38
346,6/3/2014,ARLOANAN,,,,W12,S6273,3,,95,1,,H38
347,6/4/2014,LMLOANAR,,,,UNKNLM,Y1027,2,,71,1,,H38
348,6/4/2014,LMLOARAN,,,,UNKNLM,Y1022,2,,61,1,,H38
349,6/4/2014,ARLOANAN,,,,V131,X0293,2,,72,1,,H38
350,6/5/2014,ARLOANAN,,,,W12,X0287,2,,110,1,,H38
351,6/5/2014,ARARLOLO,,,,UNKNAR,W9215,2,,87,1,,H38
352,6/8/2014,LMLOARAN,,,,UNKNLM,Y1090,2,,57,1,,H38
353,6/11/2014,ARLOANAN,,,,W12,S6094,3,,90,1,,H38
354,6/12/2014,ARARLOAN,,,,W12,U8278,3,,95,1,,H38
355,6/15/2014,ARLOARAN,,,,UNKNAR,Y1054,3,,77,1,,H38
356,6/15/2014,ARLOANHH,,,,UNKNAR,Y1020,2,,66,1,,H38
357,6/16/2014,LOLOSHAR,,,,UNKNLO,Z2084,3,,63,1,,H38
358,6/16/2014,ARARLOAN,,,,W12,W9187,3,,97,1,,H38
359,6/17/2014,ARLOARAN,,,,UNKNAR,Y1089,3,,75,1,,H38
360,6/23/2014,ARLOANHH,,,,W12,S6165,2,,78,1,,H38
361,4/2/2014,ARLOAN,,,,UNKNAR,X0291,0,,30,1,,H38
362,4/28/2014,ARLOANAN,,,,V131,S6242,2,,62,1,,H38
363,5/25/2014,ARLOARHH,,,,W12,X0180,3,,99,1,,H38
364,3/7/1990,CH,,,,C773,Unknown,2,,86,,,H38
365,4/24/1990,CH,,,,C773,Unknown,2,,90,,,H38
366,4/16/1990,CH,,,,C710,Unknown,2,,105,,,H38
367,3/21/2005,LOAN,,,9.85152E+14,307M,N3087,3,,52,1,,H38
368,4/3/2005,LOHHARHH,,,9.85152E+14,307M,N3099,3,,70,1,,H38
370,3/23/2006,LOLOANHH,,,9.99E+14,307M,P4108,3,,60,1,,H38
371,3/26/2006,LOLOANAN,,,9.99E+14,307M,P4098,3,,54,1,,H38
374,3/28/2006,LOLOANGV,,,9.99E+14,307M,P4082,3,,80,1,,H38
376,3/31/2006,LOANARHH,,,9.99E+14,307M,N3326,3,,82,1,,H38
378,4/10/2006,LOLOAN,,,9.99E+14,307M,P4099,3,,88,1,,H38
379,3/15/2007,LOLOANAN,,,,307M,R5151,3,,58,1,,H38
380,3/15/2007,LOLOANAN,,,9.49E+14,307M,P4098,3,,70,1,,H38
381,3/17/2007,LOLOANAR,,,9.49E+14,307M,R5132,2,,70,1,,H38
382,3/17/2007,LOLOANHH,,,9.49E+14,307M,P4108,2,,68,1,,H38
383,3/25/2007,LOANARHH,,,9.49E+14,307M,N3326,2,,72,1,,H38
384,3/27/2007,LOLOHH,,,9.49E+14,307M,R5099,3,,72,3,,H38
385,3/28/2007,LOAN,,,9.49E+14,307M,N3087,2,,62,1,,H38
386,3/28/2007,LOLOANAR,,,9.49E+14,307M,P4132,2,,58,1,,H38
387,3/29/2007,LOLOANHH,,,,307M,R5033,3,,70,1,,H38
388,3/29/2007,LOLOANGV,,,9.49E+14,307M,P4082,3,,80,1,,H38
