HerdID,cowID,birthdate,breed,regnum,regname,elecID,sire,dam,notes,enteredherd,calfid,source,active,dateculled,reasonculled,commentsculled,mpda,comments,chaps_id
H38,41131050,1999-03-13,HH,41131050,SR MARVEL 978,,19408550,40042479,,,,R,P,,,,,,10027
H38,42078300,2000-03-12,HH,42078300,SR LORI 016,,41003694,40042587,,,,R,P,,,,,,10028
H38,42167185,1999-01-09,HH,42167185,LCI STANDARD LADY 101J,,C2650999,C2621497,,,,R,P,,,,,,10029
H38,9J9GAR,,AN,10895323,9J9 G A R 856,,RITO9J9,,,,,R,P,,,,,,10030
H38,BFCR127,1978-04-04,AR,100626,,,PBC373D0,,,,,R,P,,,,,,10031
H38,BFLOCAR,,AR,87349,,,PBC373,,,,,R,P,,,,,,10032
H38,BFLOCRK,1981-04-16,AR,130370,,,BFLOCRVC,BFLOCAR,,,,R,P,,,,,,10033
H38,BFT7112,,AN,11246381,B F TRAVELER 7112 9118,,QAS234,,,,,R,P,,,,,,10034
H38,BR972,,AN,11264984,B/R ELINE 972,,BR545,,,,,R,P,,,,,,10035
H38,BS1051,,AN,09890479,BASIN ENCHANTRESS 1051,,HIGHTIME,,,,,R,P,,,,,,10036
H38,BUFCKLA,1982-05-06,AR,140489,,,RCNDY606,BFCR127,,,,R,P,,,,,,10037
H38,EYEMP4,1962-05-06,AR,9319,,,REDCOPPR,,,,,R,P,,,,,,10038
H38,GLACRBA,,,,,,LEACHMNA,,,,,R,P,,,,,,10039
H38,GLCRBLA,,,,,,BLKVBB,,,,,R,P,,,,,,10040
H38,HOMAMB,1961-11-04,AR,4396,,,BBASCOMR,,,,,R,P,,,,,,10041
H38,KRNREB,1993-02-15,AR,404379,,,LEACHEVN,,,,,R,P,,,,,,10042
H38,KRNRERO,1995-02-12,AR,475841,,,LRH1174B,,DAM OF 566481,2005-03-01,,R,P,,,,,,10043
H38,LCDU163,1976-04-18,AR,77420,,,THUNDERB,,,,,R,P,,,,,,10044
H38,LCHDU,1985-04-20,AR,183245,,,LCHMR012,LCDU163,,,,R,P,,,,,,10045
H38,LCHELEN,1988-01-10,AR,303922,,,JTL90KK,PRFELEN,,,,R,P,,,,,,10046
H38,LCHPRL,,,,,,JHLAR,,,,,R,P,,,,,,10047
H38,LGL774,,AN,10973044,LANDMARCK GAY LADY 774,,KADENCE,,,,,R,P,,,,,,10048
H38,MD9114,,AN,11291067,M D G ELONEMAR 9144,,PD6106,,,,,R,P,,,,,,10049
H38,MDGLNRC,1972-03-07,AR,49527,,,RLGALENA,,,,,R,P,,,,,,10050
H38,MDMADCP,1971-02-23,AR,41713,,,MADCP605,MDSTRM,,,,R,P,,,,,,10051
H38,MDSTRM,1968-03-26,AR,23376,,,STORMALG,,,,,R,P,,,,,,10052
H38,MRM1431,1991-04-01,AR,356162,,,BUFCRK14,MRM8454,,,,R,P,,,,,,10053
H38,MRM8454,,AR,268297,,,MRMPRIME,,,,,R,P,,,,,,10054
H38,N3087,2003-03-01,LOHHAN,,,982000007623383,UNKNLO,L1064,NO TEETH,,N3087,R,C,2013-01-24,J,NO TEETH,91.76801749,,10055
H38,N3099,2003-03-06,LOARHHAR,,,949000000192107,UNKNLO,L1186,SOLD 11/14/2013,,N3099,R,C,2013-11-14,J,NT,91.77896596,,10056
H38,N3326,2003-04-09,LOANARHH,,,982000007549609,UNKNLO,L1109,NO TEETH,,N3326,R,C,2013-01-24,J,NO TEETH,91.77408176,,10057
H38,P4051,2004-03-16,LOHHAN,,,982000007489354,UNKNLO,M2154,,,P4051,R,C,2005-12-06,K,,,,10058
H38,P4082,2004-03-19,LOANGV,,,949000000007304,UNKNLO,M2346,SOLD 12/11/2014,,P4082,R,A,,,,90.79709332,,10059
H38,P4098,2004-03-20,LOANANHH,,,982000007563277,UNKNLO,M2051,,,P4098,R,C,2009-11-03,K,,89.17575802,,10060
H38,P4099,2004-03-20,LOAN,,,982000007623109,UNKNLO,M2023,,,P4099,R,C,2010-11-10,J,,84.83581322,,10061
H38,P4108,2004-03-21,LOANHH,,,982000007488876,UNKNLO,M2160,SOLD 11/14/2013,,P4108,R,C,2013-11-14,J,NT,95.57119135,,10062
H38,P4132,2004-03-23,LOANAR,,,982000007220167,UNKNLO,M2088,SOLD 12/01/2011,,P4132,R,C,2011-12-01,J,,84.24079549,,10063
H38,P4191,2004-04-05,LOHHAN,,,982000007623251,UNKNLO,M2182,,,P4191,R,C,2010-11-10,J,,96.49938994,,10064
H38,PA8810,,AN,11136428,PAPA BLACKBIRD 8810,,PAPARITO,,,,,R,P,,,,,,10065
H38,PBC373,1973-08-26,AR,58495,,,CHOCF373,PBC6F,,,,R,P,,,,,,10066
H38,PBC6F,1970-09-10,AR,33457,,,KAIDAHCF,,,,,R,P,,,,,,10067
H38,PP338,,AN,1041891,BLACKCAP SAMANTHA PP 338,,PSPOWER,,,,,R,P,,,,,,10068
H38,R5033,2005-03-20,LOANHHAR,,,985152000930430,307M,N3090,,,R5033,R,C,2007-04-26,L,,,,10069
H38,R5099,2005-03-29,LOHH,,,982000007489329,UNKNLO,N3446,COW DIED 06/06/2013 GRASS TETANY,,R5099,R,C,2013-06-06,G,GRASS TETANY,95.9580749,,10070
H38,R5132,2005-04-04,LOANARHH,,,982000044680280,307M,N3326,,,R5132,R,C,2008-11-04,K,,87.64279164,,369
H38,R5151,2005-04-08,LOANANAN,,,,307M,N3089,,,R5151,R,C,2007-04-26,L,,,,10072
H38,R5166,2005-04-10,LOANANAN,,,982000007624002,UNKNLO,N3055,DEMO TAG,,R5166,R,C,2006-07-16,G,,,,10073
H38,R5167,2005-04-10,LOANHHAN,,,982000044681024,307M,N3265,,,R5167,R,C,2010-11-10,J,,91.866076,,10074
H38,R5182,2005-04-12,LOANHHAR,,,,307M,N3059,,,R5182,R,C,2006-07-16,G,,,,10075
H38,R5187,2005-04-12,LOANHHAN,,,,307M,N3072,,,R5187,R,C,2006-10-04,K,,,,10076
H38,R5281,2005-05-07,LOHHHHAR,,,982000044680802,307M,N3306,SOLD 12/01/2011,,R5281,R,C,2011-12-01,J,,85.24125361,,10077
H38,R5282,2005-05-07,LOANHHAN,,,982000044680285,307M,N3330,SOLD TO LP,,R5282,R,C,2012-12-18,K,OPEN,92.73882529,,10078
H38,RCNEXA,1978-03-21,AR,95647,,,RCNROGI4,RCNXARM,,,,R,P,,,,,,10079
H38,RCNIDGO,1974-05-04,AR,66267,,,RRRBURKE,MDGLNRC,,,,R,P,,,,,,10080
H38,RCNXARM,1975-03-15,AR,73399,,,ROCKYMTN,,,,,R,P,,,,,,10081
H38,S6040,2006-03-22,LOANHHAN,,,982009104189698,UNKNLO,P4018,SOLD TO LP,,S6040,R,C,2012-12-18,K,OPEN,95.07827584,,10082
H38,S6072,2006-03-26,LOHHARHH,,,949000000071018,307M,N3099,SOLD 11/20/2014,,S6072,R,A,,,,93.08790777,,372
H38,S6092,2006-03-28,LOHHHHAR,,,999000000004180,307M,N3306,,,S6092,R,C,2008-05-06,J,,,,10084
H38,S6093,2006-03-28,LOLOHHAN,,,949000000039786,307M,P4191,,,S6093,R,A,,,,97.81217578,,373
H38,S6094,2006-03-28,LOANANGV,,,982000128138902,UNKNLO,P4143,DIED 01/12/2015,,S6094,R,A,,,,99.21689362,,10086
H38,S6096,2006-03-28,LOLOANAR,,,982000128138380,307M,P4132,,,S6096,R,A,,,,95.58787072,,375
H38,S6104,2006-03-29,LOAN,,,982000128138502,307M,N3164,SOLD 12/11/2014,,S6104,R,A,,,,96.99783719,,10088
H38,S6108,2006-03-31,LOANHP,,,982009104079522,UNKNLO,P4127,,,S6108,R,C,2008-07-28,K,,,,10089
H38,S6109,2006-03-31,LOANAR,,,999000000000009,UNKNLO,P4090,,,S6109,R,C,2008-03-26,L,,,,10090
H38,S6112,2006-03-31,LOANANHH,,,982009104079596,307M,N3113,DRY-POOR MOTHERING-WILD,,S6112,R,C,2008-08-12,L,,,,10091
H38,S6114,2006-04-01,LOAN,,,982009104079394,UNKNLO,P4022,LAME HIPS NOT RECOVERING,,S6114,R,C,2008-07-30,J,,91.32310483,,10092
H38,S6115,2006-04-01,LOAN,,,949000000073358,UNKNLO,P4042,SOLD 12/11/2014,,S6115,R,A,,,,103.4667149,,10093
H38,S6121,2006-04-01,LOAN,,,982000044436761,307M,N3087,,,S6121,R,C,2009-11-03,J,,85.850792,,377
H38,S6122,2006-04-01,LOARHH,,,982000128138385,307M,N3305,,,S6122,R,A,,,,99.48752336,,10095
H38,S6124,2006-04-02,LOANANHH,,,982000128138332,UNKNLO,P4038,,,S6124,R,A,,,,95.8357505,,10096
H38,S6134,2006-04-03,LOARHPAN,,,999000000000125,307M,N3272,,,S6134,R,C,2008-11-12,K,,93.82270615,,10097
H38,S6135,2006-04-03,LOANHHAR,,,982009104069134,307M,N3090,DIED 03/05/2012,,S6135,R,C,2012-03-05,G,,102.1010082,,10098
H38,S6147,2006-04-06,LOANHHAN,,,999000000000175,UNKNLO,P4021,,,S6147,R,C,2008-11-04,K,,87.26360232,,10099
H38,S6158,2006-04-08,LOANANHH,,,982000039974257,UNKNLO,P4034,,,S6158,R,C,2007-12-06,K,,,,10100
H38,S6163,2006-04-09,LOANANHH,,,982009104079717,UNKNLO,P4005,,,S6163,R,C,2010-11-10,J,,97.25391843,,10101
H38,S6164,2006-04-09,LOANHH,,,982000128138297,UNKNLO,P4076,SOLD 12/11/2014,,S6164,R,A,,,,102.18754,,10102
H38,S6165,2006-04-09,LOANHHAN,,,999000000004118,UNKNLO,P4026,,,S6165,R,A,,,,93.92687008,,10103
H38,S6183,2006-04-13,LOANHHAR,,,982000128138683,UNKNLO,P4111,,,S6183,R,A,,,,102.2245523,,10104
H38,S6184,2006-04-13,LOANHHAN,,,982009104180622,UNKNLO,P4012,,,S6184,R,C,2010-11-10,J,,99.48341834,,10105
H38,S6185,2006-04-13,LOANANAN,,,982009104079679,UNKNLO,P4002,COW DIED 05/31/2011 GRASS TETANY CALF Y1064 SOLD 6/03/2011,,S6185,R,C,2011-05-31,G,,93.62369216,,10106
H38,S6196,2006-04-15,LOAN,,,982009104079567,UNKNLO,P4003,,,S6196,R,C,2010-11-10,J,,96.32165275,,10107
H38,S6197,2006-04-15,LOANHHAN,,,982000128138522,UNKNLO,P4010,SOLD 12/11/2014,,S6197,R,A,,,,99.69328783,,10108
H38,S6198,2006-04-15,LOANANGV,,,982009104079599,UNKNLO,P4056,,,S6198,R,C,2010-11-10,J,,100.5596574,,10109
H38,S6208,2006-04-17,LOANAR,,,982009104079485,UNKNLO,P4067,,,S6208,R,C,2009-11-03,K,,94.11874424,,10110
H38,S6230,2006-04-22,LOAN,,,982000128138658,UNKNLO,P4101,,,S6230,R,A,,,,94.65319055,,10111
H38,S6241,2006-04-26,LOANAR,,,982009104190825,UNKNLO,P4032,LAME HIP,,S6241,R,C,2008-09-04,J,,,,10112
H38,S6242,2006-04-26,LOANANHH,,,949000000009118,UNKNLO,P4120,SOLD 07/10/2014,,S6242,R,A,,,,103.2084886,,10113
H38,S6244,2006-04-28,LOANANAR,,,982009104079800,UNKNLO,P4013,"BAD UDDER                   SOLD 12/01/2011",,S6244,R,C,2011-12-01,J,,91.0210324,,10114
H38,S6248,2006-04-30,LOANHH,,,999000000004130,UNKNLO,P4130,SOLD 11/20/2014,,S6248,R,A,,,,94.87922762,,10115
H38,S6250,2006-05-05,LOANHH,,,982009104079730,UNKNLO,P4129,"BAD MOTHER WILD      SOLD 12/01/2011",,S6250,R,C,2011-12-01,J,,94.53249991,,10116
H38,S6259,2006-05-09,LOAN,,,982009104079588,UNKNLO,P4060,SOLD 12/01/2011,,S6259,R,C,2011-12-01,J,,95.27491919,,10117
H38,S6266,2006-05-15,LOANANHH,,,949000000074128,UNKNLO,P4069,,,S6266,R,A,,,,104.3757041,,10118
H38,S6273,2006-05-26,LOANANAN,,,982000128138959,307M,N3089,,,S6273,R,A,,,,100.2702477,,10119
H38,SUM044,,AN,10830647,SUMMITCREST AIRN U044,,PSPOWER,,,,,R,P,,,,,,10120
H38,U8001,2008-03-15,LOLOANAR,,,949000000015474,307M,P4132,SOLD 12/01/2011,,U8001,R,C,2011-12-01,J,,94.83603063,,395
H38,U8004,2008-03-15,LOANARHH,,,949000000008409,307M,N3326,,,U8004,R,C,2010-11-10,J,,91.61702345,,396
H38,U8008,2008-03-18,LOLOANAN,,,949000000248457,307M,P4098,,,U8008,R,C,2010-11-10,J,,,,398
H38,U8012,2008-03-21,LOARHH,,,949000000075895,307M,N3305,SOLD 11/14/2013,,U8012,R,C,2013-11-14,K,OPEN,104.1992655,,10124
H38,U8018,2008-03-22,LOANHHAN,,,949000000006294,307M,S6038,,,U8018,R,C,2010-06-18,J,SLAUGHTERED,,,10125
H38,U8019,2008-03-22,LOANANAN,,,949000000007115,307M,N3089,SOLD 03/31/2011,,U8019,R,C,2011-03-31,K,,100.2392366,,10126
H38,U8020,2008-03-22,ARLOAN,,,949000000009533,S6032,S6104,,,U8020,R,A,,,,96.30255328,,400
H38,U8032,2008-03-22,LOLOANGV,,,949000000007919,307M,P4082,SOLD 03/31/2011,,U8032,R,C,2011-03-31,K,,101.6058171,,401
H38,U8039,2008-03-23,LOARANHH,,,949000000039731,UNKNLO,S6154,SOLD 07/29/2014,,U8039,R,A,,,,98.15256465,,10129
H38,U8042,2008-03-24,LOARHH,,,949000000072620,UNKNLO,S6107,SOLD 12/01/2011,,U8042,R,C,2011-12-01,J,,100.4045156,,10130
H38,U8043,2008-03-24,LOARAN,,,949000000015010,UNKNLO,S6247,SOLD 11/14/2013,,U8043,R,C,2013-11-14,K,OPEN,94.54441209,,10131
H38,U8044,2008-03-23,ARLOANAN,,,949000000247966,S6032,S6242,,,U8044,R,A,,,,105.2672106,,402
H38,U8045,2008-03-24,ARLOAN,,,949000000200151,S6032,S6121,,,U8045,R,A,,,,107.3547616,,403
H38,U8054,2008-03-25,LOARANHH,,,949000000040026,UNKNLO,S6131,,,U8054,R,A,,,,103.3113431,,10134
H38,U8057,2008-03-25,ARLOHHAR,,,949000000071179,S6032,S6072,SOLD 03/31/2011,,U8057,R,C,2011-03-31,K,,,,406
H38,U8058,2008-03-25,ARLOAN,,,949000000077822,S6032,S6196,SOLD TO LP,,U8058,R,C,2012-12-18,J,LUMP JAW,93.77619783,,407
H38,U8080,2008-03-27,LOAN,,,949000000073927,307M,N3087,SOLD 03/31/2011,,U8080,R,C,2011-03-31,K,,,,408
H38,U8081,2008-03-27,LOANHHAN,,,949000000196257,UNKNLO,S6070,,,U8081,R,A,,,,95.21127782,,10138
H38,U8082,2008-03-27,LOANHHAN,,,949000000016024,UNKNLO,S6046,,,U8082,R,A,,,,105.9517897,,10139
H38,U8091,2008-03-27,LOLOANHH,,,949000000196710,307M,R5282,SOLD TO LP,,U8091,R,C,2012-12-18,L,LATE,94.10868283,,409
H38,U8105,2008-03-29,LOAN,,,949000000015356,UNKNLO,S6011,,,U8105,R,C,2012-12-18,L,CULL LATE,101.7888739,,10141
H38,U8116,2008-03-30,LOANHHAN,,,949000000249320,UNKNLO,S6069,,,U8116,R,A,,,,92.47796708,,10142
H38,U8133,2008-03-31,LOLOHHAN,,,949000000013836,307M,P4191,SOLD 11/20/2014,,U8133,R,A,,,,98.39743092,,414
H38,U8149,2008-04-02,LOANANHH,,,949000000198804,UNKNLO,S6006,,,U8149,R,C,2010-11-10,J,,101.0295118,,10144
H38,U8163,2008-04-04,ARLOLOHH,,,949000000008829,S6032,S6093,,,U8163,R,A,,,,105.6798518,,417
H38,U8190,2008-04-07,LOHHARHH,,,949000000075418,307M,N3099,"BAD MOTHER",,U8190,R,A,,,,96.33976189,,420
H38,U8200,2008-04-07,ARLOANHH,,,949000000200035,S6032,S6248,SOLD TO LP,,U8200,R,C,2012-12-18,L,CULL LATE,93.13420236,,422
H38,U8226,2008-04-11,LOANARAN,,,949000000013923,UNKNLO,S6051,SOLD 05/03/2011,,U8226,R,C,2011-05-03,L,,,,10148
H38,U8235,2008-04-13,LOAN,,,949000000247682,UNKNLO,S6065,,,U8235,R,C,2010-11-10,J,,,,10149
H38,U8236,2008-04-13,LOANAR,,,949000000070457,UNKNLO,S6086,SOLD 05/03/2011,,U8236,R,C,2011-05-03,L,,,,10150
H38,U8242,2008-04-14,ARLOANHH,,,949000000200098,S6032,S6135,SOLD 11/20/2014,,U8242,R,A,,,,99.02065155,,424
H38,U8256,2008-04-16,ARLOANHH,,,949000000197376,S6032,S6184,SOLD 12/01/2011,,U8256,R,C,2011-12-01,J,,98.65830396,,426
H38,U8257,2008-04-16,LOANHPAN,,,949000000008213,UNKNLO,S6102,,,U8257,R,C,2010-11-10,J,,101.8308185,,10153
H38,U8268,2008-04-18,ARLOANAN,,,949000000040023,S6032,S6244,,,U8268,R,C,2010-11-10,J,,,,429
H38,U8278,2008-04-20,ARLOAN,,,949000000200530,S6032,S6230,,,U8278,R,A,,,,107.1527409,,434
H38,U8285,2008-04-21,LOANHHAN,,,949000000198666,UNKNLO,S6049,SOLD 12/11/2014,,U8285,R,A,,,,102.5360386,,10156
H38,U8302,2008-04-29,LOANANGV,,,949000000194493,UNKNLO,S6016,,,U8302,R,A,,,,103.4896795,,10157
H38,U8313,2008-05-08,ARLOAN,,,949000000132941,S6032,S6259,SOLD 03/31/2011,,U8313,R,C,2011-03-31,K,,97.11783938,,439
H38,Unknown,,,,,,,,,,,,,,,,0,,10159
H38,W9053,2009-03-22,ARLOAN,,,982000128138390,S6032,S6104,,2010-06-01,W9053,R,A,,,,100.7684669,,448
H38,W9060,2009-03-23,ARLOANHH,,,982000128138321,S6032,S6184,SOLD 05/03/2011,2010-06-01,W9060,R,C,2011-05-03,L,,,,452
H38,W9069,2009-03-26,ARLOANAN,,,982000128138326,S6032,S6124,SOLD 11/20/2014,2010-06-01,W9069,R,A,,,,93.02150548,,453
H38,W9070,2009-03-26,ANARHH,,,982000128138371,7AN221,N3305,,2010-06-01,W9070,R,A,,,,106.4772252,,10163
H38,W9076,2009-03-27,ANLOHH,,,982000025313706,7AN221,R5099,,2010-06-01,W9076,R,A,,,,97.88611941,,456
H38,W9077,2009-03-27,ARLOAN,,,982000128138383,S6032,S6230,,2010-06-01,W9077,R,A,,,,99.39658004,,457
H38,W9109,2009-03-31,ARLOANAN,,,982000025314176,S6032,S6273,,2010-06-01,W9109,R,A,,,,96.60203452,,461
H38,W9122,2009-04-01,ANARHPAN,,,982000128138377,7AN221,N3272,SOLD TO LP,2010-06-01,W9122,R,C,2012-12-18,K,OPEN,94.82205911,,10167
H38,W9123,2009-04-01,ANLOANGV,,,982000128138516,7AN221,P4082,SOLD 11/20/2014,2010-06-01,W9123,R,A,,,,109.5171143,,463
H38,W9148,2009-04-03,ARLOANHH,,,982000025313798,S6032,S6164,SOLD 11/20/2014,2010-06-01,W9148,R,A,,,,97.22485636,,466
H38,W9157,2009-04-04,ARLOANAN,,,982000025313627,UNKNAR,S6094,SOLD 11/14/2013,2010-06-01,W9157,R,C,2013-11-14,K,OPEN,88.47395726,,467
H38,W9186,2009-04-08,ARLOANHH,,,982000025314024,S6042,R5282,SOLD 03/31/2011,2010-06-01,W9186,R,C,2011-03-31,K,,,,470
H38,W9187,2009-04-09,ARLOANAN,,,982000128138469,UNKNAR,S6163,,2010-06-01,W9187,R,A,,,,106.35463,,471
H38,W9188,2009-04-09,ARLOANHH,,,982000128138494,UNKNAR,S6183,SOLD 12/11/2014,2010-06-01,W9188,R,A,,,,105.4446759,,472
H38,W9207,2009-04-13,ARLOANAN,,,982000128138453,S48,P4098,SOLD 12/01/2011,2010-06-01,W9207,R,C,2011-12-01,K,,91.12537892,,475
H38,W9215,2009-04-15,ARLOLOHH,,,982000128138391,UNKNAR,S6093,,2010-06-01,W9215,R,A,,,,96.00649598,,478
H38,W9216,2009-04-16,ARANANAN,,,982000128138354,S48,N3089,,2010-06-01,W9216,R,A,,,,109.0826309,,10176
H38,W9217,2009-04-16,ARLOANHH,,,982000025313610,S6032,S6040,SOLD TO LP,2010-06-01,W9217,R,C,2012-12-18,L,CULL LATE,92.46051149,,479
H38,W9224,2009-04-18,ARLOANHH,,,982000025313768,S48,R5167,,2010-06-01,W9224,R,A,,,,107.4243915,,480
H38,W9251,2009-05-07,ARLOAN,,,982000025313502,S48,P4099,SOLD TO LP,2010-06-01,W9251,R,C,2012-12-18,L,CULL LATE,91.63462489,,485
H38,X0087,2010-03-24,LOANARAN,,,949000000249537,UNKNLO,S6026,,2011-08-08,X0087,R,A,,,,90.62968881,,10180
H38,X0089,2010-03-24,LOARANAN,,,949000000006162,UNKNLO,U8218,,2011-08-08,X0089,R,A,,,,100.0722058,,10181
H38,X0180,2010-04-09,LOARHHHH,,,949000000072799,UNKNLO,U8096,SOLD 07/10/2014,2011-08-08,X0180,R,A,,,,99.40443527,,10182
H38,X0259,2010-03-18,LOANMX,,,949000000249703,LEXUS,,"PURCHASED FROM STREETER CGREC
",2011-08-08,,P,A,,,,95.26067582,,10183
H38,X0262,2010-03-20,LOANAN,,,949000000249653,UTAH,,"PURCHASED FROM STREETER CGREC

",2011-08-08,,P,A,,,,95.57727568,,10184
H38,X0264,2010-03-20,LOANSM,,,949000000248096,SHERMAN,,"PURCHASED FROM STREETER CGREC

",2011-08-08,,P,A,,,,106.3285416,,10185
H38,X0266,2010-03-21,LOANAN,,,949000000007332,DURBIN,,"PURCHASED FROM STREETER CGREC
SOLD 12/11/2014
",2011-08-08,,P,A,,,,99.13062402,,10186
H38,X0269,2010-03-22,LOANAN,,,949000000008887,UTAH,,"PURCHASED FROM STREETER CGREC
SOLD 11/20/2014",2011-08-08,,P,A,,,,94.97217247,,10187
H38,X0271,2010-03-24,LOANAN,,,949000000075050,DURBIN,,"PURCHASED FROM STREETER CGREC",2011-08-08,,P,A,,,,102.9777592,,10188
H38,X0279,2010-03-29,LOANAN,,,949000000101499,SHERMAN,,"PURCHASED FROM STREETER CGREC
SOLD TO LP
SOLD LP 12/18/2012",2011-08-08,,P,C,2012-12-18,K,OPEN,,,10189
H38,X0286,2010-04-06,LOANAN,,,949000000072062,UNKNLO,,"PURCHASED FROM STREETER CGREC
SOLD TO LP",2011-08-08,,P,C,2012-12-18,J,FENCE JUMPER,106.1824173,,10190
H38,X0287,2010-04-07,LOANAN,,,949000000016054,UNKNLO,,PURCHASED FROM STREETER CGREC,2011-08-08,,P,A,,,,97.03502206,,10191
H38,X0290,2010-04-08,LOANAN,,,949000000199108,UNKNLO,,"PURCHASED FROM STREETER CGREC
SOLD 11/20/2014",2011-08-08,,P,A,,,,95.51372646,,10192
H38,X0291,2010-04-12,LOAN,,,949000000007726,UNKNLO,,"PURCHASED FROM STREETER CGREC
SOLD 07/10/2014",2011-08-08,,P,A,,,,98.46613264,,10193
H38,X0293,2010-04-16,LOANAN,,,949000000004817,UNKNLO,,"PURCHASED FROM STREETER CGREC
SOLD 12/11/2014",2011-08-08,,P,A,,,,96.44420101,,10194
H38,X0294,2010-04-17,LOANAN,,,949000000071785,UNKNLO,,PURCHASED FROM STREETER CGREC,2011-08-08,,P,A,,,,101.0553564,,10195
H38,X0298,2010-04-27,LOANAN,,,949000000007471,UNKNLO,,PURCHASED FROM STREETER CGREC,2011-08-08,,P,A,,,,102.7778697,,10196
H38,Y1002,2011-02-27,LOARAN,,,982000172933780,59LO1,W9126,,,Y1002,R,A,,,,101.1885678,,10197
H38,Y1008,2011-02-28,LOARANHH,,,982000172933803,59LO1,W9185,,,Y1008,R,A,,,,92.74155713,,10198
H38,Y1019,2011-03-04,LOARHHAR,,,982000172933797,59LO1,W9234,,,Y1019,R,A,,,,97.95412722,,10199
H38,Y1020,2011-03-04,LOANHH,,,982000172933781,59LO1,W9012,,,Y1020,R,A,,,,88.57108688,,10200
H38,Y1022,2011-03-04,LOARANAR,,,982000172933792,59LO1,W9190,,,Y1022,R,A,,,,100.7202369,,10201
H38,Y1027,2011-03-05,LOANAR,,,982000172933786,59LO1,W9095,,,Y1027,R,A,,,,98.39129358,,10202
H38,Y1054,2011-03-14,LOARANHH,,,982000172933788,UNKNLO,W9149,,,Y1054,R,A,,,,87.61623502,,10203
H38,Y1073,2011-03-17,LOARANHH,,,982000172933806,UNKNLO,W9250,,,Y1073,R,A,,,,91.5190059,,10204
H38,Y1089,2011-03-20,LOARANHP,,,982000172933789,UNKNLO,W9165,SOLD 12/11/2014,,Y1089,R,A,,,,92.34108861,,10205
H38,Y1090,2011-03-20,LOARAN,,,982000172933802,UNKNLO,W9137,,,Y1090,R,A,,,,88.72648959,,10206
H38,Y1116,2011-03-24,LOANHHHH,,,,UNKNLO,W9024,SOLD 11/14/2013,,Y1116,R,C,2013-11-14,K,OPEN,0,,10207
