HerdID,Chaps_ID,SireID,Expr1003,breed,regnum,regname,elecid,Sire_ChapsID,sire,Cow_ChapsID,dam,CowAge,sex,birthwt,calvingease,state,sex_date
H38,20191,BUCC1658,1988-03-04,AR,299558,,,20192,BUFCC824,10033,BFLOCRK,,1,,,,
H38,20192,BUFCC824,1984-02-28,AR,170753,,,20336,RCNCAN92,10037,BUFCKLA,,1,,,,
H38,20193,BUFCRK14,,,,,,,,,,,1,,,,
H38,20194,BWC95,,AN,09471066,BLACK WITCH CORBINAIRE 95,,,,,,,1,,,,
H38,20195,C,,AN,,,,,,,,,1,,,,
H38,20196,C109,,CH,,,,,,,,,1,,,,
H38,20197,C119,,CH,,,,,,,,,1,,,,
H38,20198,C133,,CH,,,,,,,,,1,,,,
H38,20199,C2650999,1996-06-03,HH,CAN2650999,FE 34Z STANDARD 69F,,,42355520,,C2438498,,1,,,,
H38,20200,C406,,CH,,,,,,,,,1,,,,
H38,20201,C525,,CH,,,,,,,,,1,,,,
H38,20202,C613,,CH,,,,,,,,,1,,,,
H38,20203,C710,,CH,,,,,,,,,1,,,,
H38,20204,C718,,CH,,,,,,,,,1,,,,
H38,20205,C773,,CH,,,,,,,,,1,,,,
H38,20206,C919,,CH,,,,,,,,,1,,,,
H38,20207,C937,,CH,,,,,,,,,1,,,,
H38,20208,C958,,CH,,,,,,,,,1,,,,
H38,20209,CH11,,CH,,,,,,,,,1,,,,
H38,20210,CH13,,CH,,,,,,,,,1,,,,
H38,20211,CH41,,CH,,,,,,,,,1,,,,
H38,20212,CH6011A,,AN,10749607,PREMIER CHAIRMAN 6011A,,20214,CHAIRMAN,,,,1,,,,
H38,20213,CH87,,CH,,,,,,,,,1,,,,
H38,20214,CHAIRMAN,,AN,10173231,GREENBRAE CHAIRMAN,,,,,,,1,,,,
H38,20215,CHOCF373,1965-10-05,AR,13072,,,20216,CHOCTCHF,,KCELZB,,1,,,,
H38,20216,CHOCTCHF,,AR,,,,,,,,,1,,,,
H38,20217,D,,AN,,,,,,,,,1,,,,
H38,20218,D3X7,2010-01-25,SM,2570100,,949000000197679,,2226324,,2460406,,1,,,,
H38,20219,DBLEFK29,,AR,179724,,,,,,,,1,,,,
H38,20220,DEX4,,DR,,,,,,,,,1,,,,
H38,20221,DURBIN,,LO,,,,,,,,,1,,,,
H38,20222,EMUL31,,AN,06064368,EMULATION 31,,,,,,,1,,,,
H38,20223,EMUL8520,,AN,09678609,N BAR EMULATION 8520,,20222,EMUL31,,,,1,,,,
H38,20224,EXTS,,AN,,EXT EMULATION,,,,,,,1,,,,
H38,20225,F,,AN,,,,,,,,,1,,,,
H38,20226,GHMEDAL,,HH,40036740,GH MEDAL BRITISHR 52E ET,,,,,,,1,,,,
H38,20227,GLACH744,1997-02-19,AR,557331,,,20270,LKIR8621,10039,GLACRBA,,1,,,,
H38,20228,GLACL210,1992-02-07,AR,372629,,,,BFLOCR,10040,GLCRBLA,,1,,,,
H38,20229,H109,,HH,,,,,,,,,1,,,,
H38,20230,H38,,HH,,,,,,,,,1,,,,
H38,20231,H48,,HH,,,,,,,,,1,,,,
H38,20232,HERO,,AN,10349477,HIGHWOOD HERO L C H,,,,,,,1,,,,
H38,20233,HERO6267,,AN,10848637,R R HERO 6267,,20232,HERO,,,,1,,,,
H38,20234,HH55,,HH,,,,,,,,,1,,,,
H38,20235,HIGHTIME,,AN,09324765,BASIN HIGH TIME,,,,,,,1,,,,
H38,20236,HOBO,1992-02-13,AR,373544,MLK CRK HOBO 5228,,,,,,,1,,,,
H38,20237,HP100,,,,,,,,,,,1,,,,
H38,20238,HP101,,,,,,,,,,,1,,,,
H38,20239,HP86,,HP,,,,,,,,,1,,,,
H38,20240,HP92,,HP,,,,,,,,,1,,,,
H38,20241,HP93,,HP,,,,,,,,,1,,,,
H38,20242,HP95,1987-01-05,HP,18838131,,,,18146545,,18632384,,1,,,,
H38,20243,HPU2,,HP,,,,,,,,,1,,,,
H38,20244,HPU9,,HP,,,,,,,,,1,,,,
H38,20245,HPX5,,HP,,,,,,,,,1,,,,
H38,20246,HU10,,HP,,,,,,,,,1,,,,
H38,20247,HX15,,HP,,,,,,,,,1,,,,
H38,20248,IMPACT,,AN,10112151,LEMON IMPACT,,20194,BWC95,,,,1,,,,
H38,20249,JHLAR,,,,,,,,,,,1,,,,
H38,20000,0133,,CH,,,,,,,,,1,,,,
H38,20001,013K,2000-03-03,LO,,,949000000141143,,M0001,,F0014,,1,,,,
H38,20002,02K,2000-02-05,LO,,,949000000144192,,M0001,,FF16,,1,,,,
H38,20003,05K,2000-02-11,LO,,,949000000026188,,M0001,,FF16,,1,,,,
H38,20004,05M,2002-03-14,LO,,,,,U280,,P096,,1,,,,
H38,20005,05R7,2010-02-15,SM,2570119,,949000000008108,,2353900,,2289288,,1,,,,
H38,20006,05Z7,2012-01-11,SM,2669481,006Z5ID,949000000132976,,2360021,,2570117,,1,,,,
H38,20007,1137,,AR,788190,,,,566481,10020,405675,,1,,,,
H38,20008,11R3,2010-01-01,SH,,,949000000248909,,,,x4101844,,1,,,,
H38,20009,127,1989-02-07,AN,11270134,LANDMARK BANDO 912,,20184,BANDO155,10048,LGL774,,1,,,,
H38,20010,132,1990-02-01,AN,11451945,PAPA 8810 R R HERO 0915,,20233,HERO6267,10065,PA8810,,1,,,,
H38,20011,1400,1983-03-23,AN,10312571,BASIN EMULATION 5653,,20223,EMUL8520,10036,BS1051,,1,,,,
H38,20012,141,1990-12-31,AN,11569005,B F RAINMAN 9118 117,,20334,RAIN340,10034,BFT7112,,1,,,,
H38,20013,142,1991-02-11,AN,11621009,M D G CHAIRMAN 1041,,20212,CH6011A,10049,MD9114,,1,,,,
H38,20014,144,1990-09-06,AN,11520398,G A R PRECISION,,20184,BANDO155,10030,9J9GAR,,1,,,,
H38,20015,1445,1990-04-05,AN,11402007,IRONWOOD IMPACT PP 022,,20248,IMPACT,10068,PP338,,1,,,,
H38,20016,1458,1992-03-31,AN,11783725,,,,11297283,,11275016,,1,,,,
H38,20017,155,1988-02-13,AN,11121512,SUMMITCREST TRAVELER X044,,20332,QAS234,10120,SUM044,,1,,,,
H38,20018,1550,1999-01-24,AN,13384754,,,,11783725,,12933972,,1,,,,
H38,20019,160,,CH,,,,,,,,,1,,,,
H38,20020,161AR161,,AR,,,,,,,,,1,,,,
H38,20021,161AR21,,AR,326175,,,,,,,,1,,,,
H38,20022,176,,AN,,,,,,,,,1,,,,
H38,20023,17949501,,HH,,,,,,,,,1,,,,
H38,20024,180,,AN,,,,,,,,,1,,,,
H38,20025,185629,,AR,,,,,,,,,1,,,,
H38,20026,18682140,,HH,,,,,,,,,1,,,,
H38,20027,18869978,1987-05-17,HH,18869978,BB L1 DOM 7462,,20026,18682140,,18508765,,1,,,,
H38,20028,18979369,,HH,,,,,,,,,1,,,,
H38,20029,19107241,,HH,,,,,,,,,1,,,,
H38,20030,19151357,1990-04-09,HH,19151357,BB PATRIOT 0293,,20026,18682140,,18650505,,1,,,,
H38,20031,19189990,1989-03-08,HH,19189990,96 SANDMAN 55Y,,,21839670,,42056561,,1,,,,
H38,20032,191X,2010-09-06,SH,x4179087,,982000128138397,,x4161515,,x4095135,,1,,,,
H38,20033,19249880,1991-04-24,HH,19249880,B&S PREVAIL BC 1042,,,18833614,,18972877,,1,,,,
H38,20034,19278446,,HH,19278446,BB WASHINGTON 2041,,,,,,,1,,,,
H38,20035,19283697,1991-08-05,HH,19283697,BB RED STAN 1476 1ET,,20028,18979369,,18679187,,1,,,,
H38,20036,19292672,1992-01-31,HH,19292672,CTY BRIGADER 22B,,20029,19107241,,18704719,,1,,,,
H38,20037,19302922,,HH,,,,,,,,,1,,,,
H38,20038,19358298,1993-04-03,HH,19358298,F MASTER 369 1ET,,,19093487,,19201999,,1,,,,
H38,20039,19395148,,HH,,,,,,,,,1,,,,
H38,20040,19396807,,HH,19396807,JA LI DOMINO 3565,,,,,,,1,,,,
H38,20041,19408550,,HH,,,,,,,,,1,,,,
H38,20042,19427728,1994-01-25,HH,19427728,BB COM STD  4017 1ET,,20039,19395148,,18090899,,1,,,,
H38,20043,19432948,1994-02-16,HH,19432948,ORE 75B 4040 1ET,,,18132819,,18511517,,1,,,,
H38,20044,19436461,1994-02-08,HH,19436461,BB 7Z STD LAD 4032,,20039,19395148,,18786314,,1,,,,
H38,20045,19436462,1994-02-08,HH,19436462,BB 7Z STD LAD 4033,,20039,19395148,,19061693,,1,,,,
H38,20046,19458354,1994-04-13,HH,19458354,BB MARK DONALD 4209,,,19021767,,19223864,,1,,,,
H38,20047,19461176,,HH,,,,,,,,,1,,,,
H38,20048,19476026,,HH,,,,,,,,,1,,,,
H38,20049,19498500,1995-02-18,HH,19498500,ANK BB DOM 5036 1ET,,20037,19302922,,18923705,,1,,,,
H38,20050,19563937,1996-01-19,HH,19563937,CHURCHILL PATROL 630,,,19348992,,19432792,,1,,,,
H38,20051,19599204,1996-09-09,HH,19599204,AY MARK DOMINO 7926,,20041,19408550,,19408065,,1,,,,
H38,20052,196,1996-02-25,AN,12564177,,,,11569005,,12130258,,1,,,,
H38,20053,198X,2010-09-10,SH,x4179085,,,,x4161515,,x4095132,,1,,,,
H38,20054,19Y7,2011-01-01,SM,,,,,,,19Y7,,1,,,,
H38,20055,205,,AN,,,,,,,,,1,,,,
H38,20056,207,1998-02-08,AN,13009379,,,,12452829,,12559297,,1,,,,
H38,20057,20K1,2010-02-08,AN,17119109,,949000000249804,,13512009,,13780525,,1,,,,
H38,20058,2100Z,2012-05-10,LM,2005695,006Z5ID,949000000197533,,1936877,,1849759,,1,,,,
H38,20059,211,,AN,,,,,,,,,1,,,,
H38,20060,212,1995-08-14,AN,12548568,,,,10776479,,11647241,,1,,,,
H38,20061,2141,,HP,,,,,,,,,1,,,,
H38,20062,2152,,CH,,,,,,,,,1,,,,
H38,20063,2184Z,2012-03-23,AR,1548050,006Z5ID,949000000001185,,1330828,,1259976,,1,,,,
H38,20064,2186,,SM,,,,,,,,,1,,,,
H38,20065,22,,,,,,,,,,,1,,,,
H38,20066,221,,,,,,,,,,,1,,,,
H38,20067,222,,,,,,,,,,,1,,,,
H38,20068,226,,,,,,,,,,,1,,,,
H38,20069,228,,AN,,,,,,,,,1,,,,
H38,20070,2293Z,2012-04-20,AR,1547993,006Z5ID,949000000100408,,1384618,,1041707,,1,,,,
H38,20071,231,,AN,,,,,,,,,1,,,,
H38,20072,231GV,,GV,,,,,,,,,1,,,,
H38,20073,236Y,,GV,,,,,,,,,1,,,,
H38,20074,237,,AN,,,,,,,,,1,,,,
H38,20075,2584005,,HH,2584005,BP SANDMAN 146D,,,,,,,1,,,,
H38,20076,28Y,2011-08-17,SH,x4190244,006Z5ID,982000172933965,,x3944295,,x4046959,,1,,,,
H38,20077,28Y1,2011-01-01,AN,17119121,,,,,,52S1,,1,,,,
H38,20078,295Z,2012-05-01,LM,2005690,006Z5ID,949000000008967,,1936877,,1932517,,1,,,,
H38,20079,299558,,AR,,,,,,,,,1,,,,
H38,20080,29AN1400,,AN,,,,,,,,,1,,,,
H38,20081,29AN1458,,AN,,,,,,,,,1,,,,
H38,20082,29AN1550,,AN,,,,,,,,,1,,,,
H38,20083,29AR0205,2003-02-13,AR,,,,,GG B571,,2254,,1,,,,
H38,20084,29P,2004-05-01,LO,FM3991,,,,FM1909,,FF123,,1,,,,
H38,20085,29S3,2010-01-01,SH,,,949000000040961,,,,x4121225,,1,,,,
H38,20086,304P,,LO,,,,,ALMDKPRD,,MISSDKTA,,1,,,,
H38,20087,307M,2002-02-25,LO,,,982000007489005,,27H,,FM9,,1,,,,
H38,20088,30T,2004-05-01,LO,FM3990,,,,FM647,,FF156,,1,,,,
H38,20089,30Y7,2011-01-01,SM,2619614,,,,,,80L7,,1,,,,
H38,20090,30Z7,2012-01-31,SM,2669479,006Z5ID,949000000006113,,2281133,,2364441,,1,,,,
H38,20091,312276,,AR,312276,,,,,,,,1,,,,
H38,20092,316788,,AR,316788,,,,,,,,1,,,,
H38,20093,336C,1992-03-28,AN,11793344,,,,,,,,1,,,,
H38,20094,372968,,AR,372968,,,,,,,,1,,,,
H38,20095,37P,2004-05-12,LO,FM3992,,,,FM74,,FF151,,1,,,,
H38,20096,39Z7,2012-02-04,SM,2669482,006Z5ID,982000172933978,,2289889,,2460422,,1,,,,
H38,20097,3FSM,,DR,7079,,,,,,,,1,,,,
H38,20098,40036739,1996-01-07,HH,40036739,,,20048,19476026,,2548883,,1,,,,
H38,20099,40036740,1995-01-19,HH,40036740,,,,19172457,,2396123,,1,,,,
H38,20100,40049272,1997-05-15,HH,40049272,,,,19390001,,19273999,,1,,,,
H38,20101,4076,2004-03-25,AR,992320,,982009104173251,,788190,,667864,,1,,,,
H38,20102,4082,2004-03-14,AR,992251,,982009104079543,,575520,,802634,,1,,,,
H38,20103,4098,2004-03-17,AR,992275,,982009104079673,,575520,,416033,,1,,,,
H38,20104,41,,CH,,,,,,,,,1,,,,
H38,20105,41003694,1998-01-28,HH,41003694,SR 4411 MARK 8037,,20047,19461176,,19410898,,1,,,,
H38,20106,41139401,1999-04-24,HH,41139401,SR MARK DON 9219,,,19578040,,19571110,,1,,,,
H38,20107,4130,2004-03-13,AR,992323,,982009104079427,,575520,,684093,,1,,,,
H38,20108,42035398,1998-01-14,HH,42035398,BP 146D SANDMAN 46H,,20075,2584005,,42035388,,1,,,,
H38,20109,42035426,1997-02-21,HH,42035426,FA BRITISHER 126G,,,42035420,,42035424,,1,,,,
H38,20110,42200609,1998-03-23,HH,4200609,MW PRAIRIE 68H,,,42200608,,42200607,,1,,,,
H38,20111,4P,2004-03-28,LO,FM3988,,,,FM1787,,FF2903,,1,,,,
H38,20112,50P7,2010-02-02,SM,2570106,,949000000078084,,2321664,,2364451,,1,,,,
H38,20113,5230,,CH,,Skogen Charolais 5230 Sons,,,,,,,1,,,,
H38,20114,525,,CH,,,,,,,,,1,,,,
H38,20115,52U1,2010-01-24,AN,17119108,,949000000077091,,13512009,,16375661,,1,,,,
H38,20116,53P7,2010-02-10,SM,2570112,,949000000015081,,2321664,,2242073,,1,,,,
H38,20117,54T7,2010-02-16,SM,2570120,,949000000197020,,2216165,,2397437,,1,,,,
H38,20118,5681,,CH,,Skogen Charolais 5681 Sons,,,,,,,1,,,,
H38,20119,5932,,CH,,Skogen Charolais 5932 Sons,,,,,,,1,,,,
H38,20120,59LO1,,LO,,,,,,,,,1,,,,
H38,20121,60J,,LO,,,,,NEVADA,,TRIANGL,,1,,,,
H38,20122,6133,,CH,,,,,,,,,1,,,,
H38,20123,62D1,1994-03-14,AN,12292752,NDSU CRUZLINER 62D1,,,,,,,1,,,,
H38,20124,65X,2010-01-01,LO,,,949000000195730,,,,,,1,,,,
H38,20125,689,1991-01-29,AN,11554190,B/R TRAVELER 130,,20332,QAS234,10035,BR972,,1,,,,
H38,20126,6P,2004-04-02,LO,FM3989,,,,FM1787,,FF2177,,1,,,,
H38,20127,6T,2004-04-02,LO,FM3989,,,,FM1787,,FF2177,,1,,,,
H38,20128,701P,2004-03-18,LO,PM3987,,,,FM1787,,XF1549,,1,,,,
H38,20129,701X,2010-01-01,LO,,,949000000071031,,,,,,1,,,,
H38,20250,JHLDY417,1973-03-19,AR,58788,,,20178,ANKODYNA,10041,HOMAMB,,1,,,,
H38,20251,JTL90KK,,,,,,,,,,,1,,,,
H38,20252,KADENCE,,AN,10335630,KADENCE RIFLEMAN,,,,,,,1,,,,
H38,20253,KAIDAHCF,,AR,15185,,,,,,,,1,,,,
H38,20254,KAPTPLNT,,,,,,,TRIH153,,TRI1001,,1,,,,
H38,20255,L07,,HH,,,,,,,,,1,,,,
H38,20256,L08,,HH,,,,,,,,,1,,,,
H38,20257,L09,,HH,,,,,,,,,1,,,,
H38,20258,L12,,HH,,,,,,,,,1,,,,
H38,20259,L15,,HH,,,,,,,,,1,,,,
H38,20260,L17,1999-03-30,HH,41167437,L DAKOTA AUTUMN 957,,,19511547,,19394319,,1,,,,
H38,20261,L18,1999-04-06,HH,41167439,L DAKOTA AUTUMN 965,,,19511547,,19593530,,1,,,,
H38,20262,L23,2001-03-02,HH,42223519,L SUNDANCE 118,,,40061433,,19540746,,1,,,,
H38,20263,L26,,HH,,,,,,,,,1,,,,
H38,20264,L28,1998-03-07,HH,41068670,L DAKOTA AUTUMN 875,,,19511547,,19394299,,1,,,,
H38,20265,LCHMR012,,,,,,,,,,,1,,,,
H38,20266,LCHROB,1987-02-09,AR,275682,,,20339,RCNDY614,10045,LCHDU,,1,,,,
H38,20267,LEACHEVN,1988-02-07,AR,299211,,,,,,,,1,,,,
H38,20268,LEACHMNA,,,,,,,,,,,1,,,,
H38,20269,LEXUS,,LO,,,,,,,,,1,,,,
H38,20270,LKIR8621,1990-02-16,AR,335067,,,20266,LCHROB,10046,LCHELEN,,1,,,,
H38,20271,LMLA502M,2002-01-29,AR,832407,,,20186,BFCC4912,10043,KRNRERO,,1,,,,
H38,20272,LO,,LO,,,,,,,,,1,,,,
H38,20273,LOVANA,,AN,09819973,LOVANA,,20331,PSPOWER,,,,1,,,,
H38,20274,LRA,1990-01-29,AR,326175,LARSON SUNDANCE 001,,,,,,,1,,,,
H38,20275,LRH1174B,1992-04-30,AR,385484,,,20270,LKIR8621,10047,LCHPRL,,1,,,,
H38,20276,M234,2002-05-09,HH,42287234,,949000000191724,20108,42035398,10007,19555135,,1,,,,
H38,20277,M255,2002-04-27,HH,42287255,,949000000191998,20100,40049272,10012,19583647,,1,,,,
H38,20278,M323,2002-03-26,HH,,SR MAGNET 462,,20100,40049272,10009,19570055,,1,,,,
H38,20279,M361,2002-04-21,HH,42287361,SR SANDMAN 1272,,20108,42035398,10015,40005441,,1,,,,
H38,20280,M362,2002-04-21,HH,42287362,,,20108,42035398,10015,40005441,,1,,,,
H38,20281,M370,2002-04-19,HH,42287370,,0949000000124501,20098,40036739,10016,40042479,,1,,,,
H38,20282,M389,2002-05-22,HH,42287389,,949000000196259,20100,40049272,10017,40042525,,1,,,,
H38,20283,M398,,LO,,,,,,,,,1,,,,
H38,20284,M422,2002-04-24,HH,42287422,,949000000091991,20108,42035398,10019,40045567,,1,,,,
H38,20285,M429,2002-03-28,HH,42287429,,949000000095383,20108,42035398,10026,41053189,,1,,,,
H38,20286,M433,2002-03-26,HH,42287433,,949000000216410,20108,42035398,10024,41053020,,1,,,,
H38,20287,M459,2002-03-27,HH,42287459,,949000000094306,20109,42035426,10022,41034505,,1,,,,
H38,20288,M465,2002-04-05,HH,42287465,,,20109,42035426,10023,41034704,,1,,,,
H38,20289,M470,2002-04-10,HH,42287470,,,20109,42035426,10021,41007692,,1,,,,
H38,20290,M537,2002-04-21,HH,42287537,SR COMET 1252,,,42167187,10027,41131050,,1,,,,
H38,20291,M582,2002-03-08,HH,42287582,SR MARK DON 802,,20106,41139401,10028,42078300,,1,,,,
H38,20292,M59,2010-02-14,SM,2570118,,949000000070911,,2216165,,2183664,,1,,,,
H38,20293,MADCP605,,,,,,,,,,,1,,,,
H38,20294,MDMAD,,,,,,,,,,,1,,,,
H38,20295,MESS,,AR,,Messmer Red Angus Bulls,,,,,,,1,,,,
H38,20296,MRMPRIME,1984-01-10,AR,166282,,,,,,,,1,,,,
H38,20297,MS03,,AR,,,,,,,,,1,,,,
H38,20298,MS11,,AR,,,,,,,,,1,,,,
H38,20299,MS13,,AR,,,,,,,,,1,,,,
H38,20300,MS17,,AR,,,,,,,,,1,,,,
H38,20301,MS28,,AR,,,,,,,,,1,,,,
H38,20302,MS36,,MS,,,,,,,,,1,,,,
H38,20303,MS38,,MS,,,,,,,,,1,,,,
H38,20304,MS41,,AR,,,,,,,,,1,,,,
H38,20305,MS43,,AR,,,,,,,,,1,,,,
H38,20306,MS46,,AR,,,,,,,,,1,,,,
H38,20307,N174,2003-03-28,HH,42408174,,,,41123437,,42078510,,1,,,,
H38,20308,N194,2003-03-17,HH,42420194,,,,42254372,,41139404,,1,,,,
H38,20309,N305,2003-03-09,HH,42408305,,,,42071009,,42197977,,1,,,,
H38,20310,N506,2003-04-24,HH,42407506,,949000000197658,20108,42035398,,19518703,,1,,,,
H38,20311,N563,2003-03-30,HH,42407563,,949000000192410,,42198179,,,,1,,,,
H38,20312,N659,2003-03-28,HH,42407659,,949000000095204,,42197974,,19578502,,1,,,,
H38,20313,N737,2003-04-13,HH,42407737,,949000000200825,,42196319,,19578610,,1,,,,
H38,20314,N762,2003-04-10,HH,42407762,,,,42071009,,19589827,,1,,,,
H38,20315,N861,2003-04-11,HH,41123437,,,,41123437,,40031007,,1,,,,
H38,20316,OKDBLCHF,1976-03-09,AR,78553,,,20327,PBC373D0,10066,PBC373,,1,,,,
H38,20317,OX19,2010-01-01,LO,,,949000000007953,,,,,,1,,,,
H38,20318,P026,,UNKNHH,,,949000000200111,20428,UNKNHH,,,,1,,,,
H38,20319,P065,,HH,,,982009104079635,20428,UNKNHH,,,,1,,,,
H38,20320,P329,2004-03-25,AR,992329,,,,LELAND,,BARN CH,,1,,,,
H38,20321,P586,,HH,42496586,,982009104079678,20428,UNKNHH,,,,1,,,,
H38,20322,P630,,HH,42496630,,982009104079935,20428,UNKNHH,,,,1,,,,
H38,20323,P715,,HH,42495715,,982009104079529,20428,UNKNHH,,,,1,,,,
H38,20324,P90,2004-05-01,LO,FM3990,,982000039975103,,FM647,,FF156,,1,,,,
H38,20325,PAPARITO,,AN,10846681,PAPA RITO T INTENSE DHD 6844,,,,,,,1,,,,
H38,20326,PBC373,,AR,41855,,,,,,,,1,,,,
H38,20327,PBC373D0,1972-03-14,AR,47437,,,20215,CHOCF373,10038,EYEMP4,,1,,,,
H38,20328,PBCD02,,AR,70736,,,,,,,,1,,,,
H38,20329,PBCD6MH1,1975-03-17,AR,70773,,,20327,PBC373D0,,PHCBAND,,1,,,,
H38,20330,PD6106,,AN,10852649,BEAR CREEK POWER DRIVE 6106,,,,,,,1,,,,
H38,20331,PSPOWER,,AN,08974207,P S POWER PLAY,,,,,,,1,,,,
H38,20332,QAS234,,AN,09250717,Q A S TRAVELER 23-4,,20183,BAND234,,,,1,,,,
H38,20333,R100,2005-01-01,LO,,,949000000106693,,,,,,1,,,,
H38,20334,RAIN340,,AN,10388929,G D A R RAINMAKER 340,,20273,LOVANA,,,,1,,,,
H38,20335,RBOW,,CH,,,,,,,,,1,,,,
H38,20336,RCNCAN92,1980-04-16,AR,120186,,,20337,RCNCYNCF,10079,RCNEXA,,1,,,,
H38,20337,RCNCYNCF,1978-03-16,AR,95641,,,20329,PBCD6MH1,10080,RCNIDGO,,1,,,,
H38,20338,RCNDY606,,AR,,,,,,,,,1,,,,
H38,20339,RCNDY614,1976-03-12,AR,87772,,,20250,JHLDY417,10080,RCNIDGO,,1,,,,
H38,20340,RCNROGI4,1974-02-28,AR,66260,,,,,,,,1,,,,
H38,20341,REDCOPPR,,AR,1533,,,,,,,,1,,,,
H38,20342,REDMAC,,,,,,,,,,,1,,,,
H38,20343,REF1,,AN,,,,,,,,,1,,,,
H38,20344,REF2,,AN,,,,,,,,,1,,,,
H38,20345,RITO9J9,,,09682589,RITO 9J9 OF B156 7T26,,,,,,,1,,,,
H38,20346,RLGALENA,,AR,35607,,,,,,,,1,,,,
H38,20347,ROCKYMTN,,AR,8496,,,,,,,,1,,,,
H38,20348,RRRBURKE,,AR,,,,,,,,,1,,,,
H38,20349,S13,2006-03-12,AR,1114775,,982000039974158,,832407,,971798,,1,,,,
H38,20350,S30,,AR,,,,-1,UNKN,,,,1,,,,
H38,20351,S30HH,2006-03-26,HH,42728135,,982000040735674,,42162587,,42287339,,1,,,,
